lat,lon,city_name,year,cluster
33.15,-5.8333,Aguelmous,1982,High
33.15,-5.8333,Aguelmous,1991,High
33.15,-5.8333,Aguelmous,1996,High
33.15,-5.8333,Aguelmous,1997,High
33.15,-5.8333,Aguelmous,2006,High
33.15,-5.8333,Aguelmous,2009,High
33.15,-5.8333,Aguelmous,2010,High
33.15,-5.8333,Aguelmous,2011,High
33.15,-5.8333,Aguelmous,2013,High
33.15,-5.8333,Aguelmous,2015,High
33.15,-5.8333,Aguelmous,2018,High
33.15,-5.8333,Aguelmous,1983,Medium
33.15,-5.8333,Aguelmous,1987,Medium
33.15,-5.8333,Aguelmous,1988,Medium
33.15,-5.8333,Aguelmous,1989,Medium
33.15,-5.8333,Aguelmous,1990,Medium
33.15,-5.8333,Aguelmous,1994,Medium
33.15,-5.8333,Aguelmous,1998,Medium
33.15,-5.8333,Aguelmous,2001,Medium
33.15,-5.8333,Aguelmous,2003,Medium
33.15,-5.8333,Aguelmous,2004,Medium
33.15,-5.8333,Aguelmous,2005,Medium
33.15,-5.8333,Aguelmous,2008,Medium
33.15,-5.8333,Aguelmous,2012,Medium
33.15,-5.8333,Aguelmous,2014,Medium
33.15,-5.8333,Aguelmous,2017,Medium
33.15,-5.8333,Aguelmous,2019,Medium
33.15,-5.8333,Aguelmous,2020,Medium
33.15,-5.8333,Aguelmous,1984,Low
33.15,-5.8333,Aguelmous,1985,Low
33.15,-5.8333,Aguelmous,1986,Low
33.15,-5.8333,Aguelmous,1992,Low
33.15,-5.8333,Aguelmous,1993,Low
33.15,-5.8333,Aguelmous,1995,Low
33.15,-5.8333,Aguelmous,1999,Low
33.15,-5.8333,Aguelmous,2000,Low
33.15,-5.8333,Aguelmous,2002,Low
33.15,-5.8333,Aguelmous,2007,Low
33.15,-5.8333,Aguelmous,2016,Low
