lat,lon,city_name,year,cluster
34.4833,-4.7,Ain Aicha,2009,High
34.4833,-4.7,Ain Aicha,2010,High
34.4833,-4.7,Ain Aicha,2011,High
34.4833,-4.7,Ain Aicha,2013,High
34.4833,-4.7,Ain Aicha,1982,Medium
34.4833,-4.7,Ain Aicha,1983,Medium
34.4833,-4.7,Ain Aicha,1984,Medium
34.4833,-4.7,Ain Aicha,1986,Medium
34.4833,-4.7,Ain Aicha,1987,Medium
34.4833,-4.7,Ain Aicha,1988,Medium
34.4833,-4.7,Ain Aicha,1990,Medium
34.4833,-4.7,Ain Aicha,1991,Medium
34.4833,-4.7,Ain Aicha,1994,Medium
34.4833,-4.7,Ain Aicha,1996,Medium
34.4833,-4.7,Ain Aicha,1997,Medium
34.4833,-4.7,Ain Aicha,1998,Medium
34.4833,-4.7,Ain Aicha,2001,Medium
34.4833,-4.7,Ain Aicha,2003,Medium
34.4833,-4.7,Ain Aicha,2004,Medium
34.4833,-4.7,Ain Aicha,2006,Medium
34.4833,-4.7,Ain Aicha,2008,Medium
34.4833,-4.7,Ain Aicha,2012,Medium
34.4833,-4.7,Ain Aicha,2014,Medium
34.4833,-4.7,Ain Aicha,2015,Medium
34.4833,-4.7,Ain Aicha,2017,Medium
34.4833,-4.7,Ain Aicha,2018,Medium
34.4833,-4.7,Ain Aicha,2019,Medium
34.4833,-4.7,Ain Aicha,2020,Medium
34.4833,-4.7,Ain Aicha,1985,Low
34.4833,-4.7,Ain Aicha,1989,Low
34.4833,-4.7,Ain Aicha,1992,Low
34.4833,-4.7,Ain Aicha,1993,Low
34.4833,-4.7,Ain Aicha,1995,Low
34.4833,-4.7,Ain Aicha,1999,Low
34.4833,-4.7,Ain Aicha,2000,Low
34.4833,-4.7,Ain Aicha,2002,Low
34.4833,-4.7,Ain Aicha,2005,Low
34.4833,-4.7,Ain Aicha,2007,Low
34.4833,-4.7,Ain Aicha,2016,Low
