lat,lon,city_name,year,cluster
33.9333,-5.2167,Ain Taoujdat,1996,High
33.9333,-5.2167,Ain Taoujdat,2009,High
33.9333,-5.2167,Ain Taoujdat,2010,High
33.9333,-5.2167,Ain Taoujdat,2011,High
33.9333,-5.2167,Ain Taoujdat,2013,High
33.9333,-5.2167,Ain Taoujdat,2018,High
33.9333,-5.2167,Ain Taoujdat,1982,Medium
33.9333,-5.2167,Ain Taoujdat,1983,Medium
33.9333,-5.2167,Ain Taoujdat,1986,Medium
33.9333,-5.2167,Ain Taoujdat,1987,Medium
33.9333,-5.2167,Ain Taoujdat,1988,Medium
33.9333,-5.2167,Ain Taoujdat,1990,Medium
33.9333,-5.2167,Ain Taoujdat,1991,Medium
33.9333,-5.2167,Ain Taoujdat,1994,Medium
33.9333,-5.2167,Ain Taoujdat,1997,Medium
33.9333,-5.2167,Ain Taoujdat,1998,Medium
33.9333,-5.2167,Ain Taoujdat,2001,Medium
33.9333,-5.2167,Ain Taoujdat,2003,Medium
33.9333,-5.2167,Ain Taoujdat,2004,Medium
33.9333,-5.2167,Ain Taoujdat,2006,Medium
33.9333,-5.2167,Ain Taoujdat,2012,Medium
33.9333,-5.2167,Ain Taoujdat,2014,Medium
33.9333,-5.2167,Ain Taoujdat,2015,Medium
33.9333,-5.2167,Ain Taoujdat,2017,Medium
33.9333,-5.2167,Ain Taoujdat,2019,Medium
33.9333,-5.2167,Ain Taoujdat,2020,Medium
33.9333,-5.2167,Ain Taoujdat,1984,Low
33.9333,-5.2167,Ain Taoujdat,1985,Low
33.9333,-5.2167,Ain Taoujdat,1989,Low
33.9333,-5.2167,Ain Taoujdat,1992,Low
33.9333,-5.2167,Ain Taoujdat,1993,Low
33.9333,-5.2167,Ain Taoujdat,1995,Low
33.9333,-5.2167,Ain Taoujdat,1999,Low
33.9333,-5.2167,Ain Taoujdat,2000,Low
33.9333,-5.2167,Ain Taoujdat,2002,Low
33.9333,-5.2167,Ain Taoujdat,2005,Low
33.9333,-5.2167,Ain Taoujdat,2007,Low
33.9333,-5.2167,Ain Taoujdat,2008,Low
33.9333,-5.2167,Ain Taoujdat,2016,Low
