lat,lon,city_name,year,cluster
34.9167,-2.4333,Aklim,2004,High
34.9167,-2.4333,Aklim,2009,High
34.9167,-2.4333,Aklim,2013,High
34.9167,-2.4333,Aklim,1986,Medium
34.9167,-2.4333,Aklim,1987,Medium
34.9167,-2.4333,Aklim,1990,Medium
34.9167,-2.4333,Aklim,1991,Medium
34.9167,-2.4333,Aklim,1994,Medium
34.9167,-2.4333,Aklim,1996,Medium
34.9167,-2.4333,Aklim,2001,Medium
34.9167,-2.4333,Aklim,2002,Medium
34.9167,-2.4333,Aklim,2003,Medium
34.9167,-2.4333,Aklim,2005,Medium
34.9167,-2.4333,Aklim,2006,Medium
34.9167,-2.4333,Aklim,2008,Medium
34.9167,-2.4333,Aklim,2010,Medium
34.9167,-2.4333,Aklim,2012,Medium
34.9167,-2.4333,Aklim,2014,Medium
34.9167,-2.4333,Aklim,2015,Medium
34.9167,-2.4333,Aklim,2017,Medium
34.9167,-2.4333,Aklim,2018,Medium
34.9167,-2.4333,Aklim,2020,Medium
34.9167,-2.4333,Aklim,1982,Low
34.9167,-2.4333,Aklim,1983,Low
34.9167,-2.4333,Aklim,1984,Low
34.9167,-2.4333,Aklim,1985,Low
34.9167,-2.4333,Aklim,1988,Low
34.9167,-2.4333,Aklim,1989,Low
34.9167,-2.4333,Aklim,1992,Low
34.9167,-2.4333,Aklim,1993,Low
34.9167,-2.4333,Aklim,1995,Low
34.9167,-2.4333,Aklim,1997,Low
34.9167,-2.4333,Aklim,1998,Low
34.9167,-2.4333,Aklim,1999,Low
34.9167,-2.4333,Aklim,2000,Low
34.9167,-2.4333,Aklim,2007,Low
34.9167,-2.4333,Aklim,2011,Low
34.9167,-2.4333,Aklim,2016,Low
34.9167,-2.4333,Aklim,2019,Low
