lat,lon,city_name,year,cluster
33.81,-6.06,Al Khmissat,1996,High
33.81,-6.06,Al Khmissat,2009,High
33.81,-6.06,Al Khmissat,2010,High
33.81,-6.06,Al Khmissat,2011,High
33.81,-6.06,Al Khmissat,2013,High
33.81,-6.06,Al Khmissat,2018,High
33.81,-6.06,Al Khmissat,1982,Medium
33.81,-6.06,Al Khmissat,1987,Medium
33.81,-6.06,Al Khmissat,1988,Medium
33.81,-6.06,Al Khmissat,1989,Medium
33.81,-6.06,Al Khmissat,1990,Medium
33.81,-6.06,Al Khmissat,1991,Medium
33.81,-6.06,Al Khmissat,1994,Medium
33.81,-6.06,Al Khmissat,1997,Medium
33.81,-6.06,Al Khmissat,1998,Medium
33.81,-6.06,Al Khmissat,2001,Medium
33.81,-6.06,Al Khmissat,2003,Medium
33.81,-6.06,Al Khmissat,2004,Medium
33.81,-6.06,Al Khmissat,2006,Medium
33.81,-6.06,Al Khmissat,2012,Medium
33.81,-6.06,Al Khmissat,2014,Medium
33.81,-6.06,Al Khmissat,2015,Medium
33.81,-6.06,Al Khmissat,2017,Medium
33.81,-6.06,Al Khmissat,2019,Medium
33.81,-6.06,Al Khmissat,1983,Low
33.81,-6.06,Al Khmissat,1984,Low
33.81,-6.06,Al Khmissat,1985,Low
33.81,-6.06,Al Khmissat,1986,Low
33.81,-6.06,Al Khmissat,1992,Low
33.81,-6.06,Al Khmissat,1993,Low
33.81,-6.06,Al Khmissat,1995,Low
33.81,-6.06,Al Khmissat,1999,Low
33.81,-6.06,Al Khmissat,2000,Low
33.81,-6.06,Al Khmissat,2002,Low
33.81,-6.06,Al Khmissat,2005,Low
33.81,-6.06,Al Khmissat,2007,Low
33.81,-6.06,Al Khmissat,2008,Low
33.81,-6.06,Al Khmissat,2016,Low
33.81,-6.06,Al Khmissat,2020,Low
