lat,lon,city_name,year,cluster
33.4,-3.7167,Al Orjane,1991,High
33.4,-3.7167,Al Orjane,1994,High
33.4,-3.7167,Al Orjane,1996,High
33.4,-3.7167,Al Orjane,2004,High
33.4,-3.7167,Al Orjane,2006,High
33.4,-3.7167,Al Orjane,2009,High
33.4,-3.7167,Al Orjane,2010,High
33.4,-3.7167,Al Orjane,2012,High
33.4,-3.7167,Al Orjane,2013,High
33.4,-3.7167,Al Orjane,2015,High
33.4,-3.7167,Al Orjane,2018,High
33.4,-3.7167,Al Orjane,1982,Medium
33.4,-3.7167,Al Orjane,1983,Medium
33.4,-3.7167,Al Orjane,1986,Medium
33.4,-3.7167,Al Orjane,1987,Medium
33.4,-3.7167,Al Orjane,1988,Medium
33.4,-3.7167,Al Orjane,1989,Medium
33.4,-3.7167,Al Orjane,1990,Medium
33.4,-3.7167,Al Orjane,1997,Medium
33.4,-3.7167,Al Orjane,1998,Medium
33.4,-3.7167,Al Orjane,2001,Medium
33.4,-3.7167,Al Orjane,2003,Medium
33.4,-3.7167,Al Orjane,2005,Medium
33.4,-3.7167,Al Orjane,2007,Medium
33.4,-3.7167,Al Orjane,2008,Medium
33.4,-3.7167,Al Orjane,2011,Medium
33.4,-3.7167,Al Orjane,2014,Medium
33.4,-3.7167,Al Orjane,2017,Medium
33.4,-3.7167,Al Orjane,2019,Medium
33.4,-3.7167,Al Orjane,2020,Medium
33.4,-3.7167,Al Orjane,1984,Low
33.4,-3.7167,Al Orjane,1985,Low
33.4,-3.7167,Al Orjane,1992,Low
33.4,-3.7167,Al Orjane,1993,Low
33.4,-3.7167,Al Orjane,1995,Low
33.4,-3.7167,Al Orjane,1999,Low
33.4,-3.7167,Al Orjane,2000,Low
33.4,-3.7167,Al Orjane,2002,Low
33.4,-3.7167,Al Orjane,2016,Low
