lat,lon,city_name,year,cluster
32.75,-4.4667,Amersid,1982,High
32.75,-4.4667,Amersid,1991,High
32.75,-4.4667,Amersid,1994,High
32.75,-4.4667,Amersid,1996,High
32.75,-4.4667,Amersid,2006,High
32.75,-4.4667,Amersid,2007,High
32.75,-4.4667,Amersid,2009,High
32.75,-4.4667,Amersid,2010,High
32.75,-4.4667,Amersid,2012,High
32.75,-4.4667,Amersid,2013,High
32.75,-4.4667,Amersid,2015,High
32.75,-4.4667,Amersid,2018,High
32.75,-4.4667,Amersid,1986,Medium
32.75,-4.4667,Amersid,1987,Medium
32.75,-4.4667,Amersid,1988,Medium
32.75,-4.4667,Amersid,1989,Medium
32.75,-4.4667,Amersid,1990,Medium
32.75,-4.4667,Amersid,1993,Medium
32.75,-4.4667,Amersid,1997,Medium
32.75,-4.4667,Amersid,1998,Medium
32.75,-4.4667,Amersid,2001,Medium
32.75,-4.4667,Amersid,2003,Medium
32.75,-4.4667,Amersid,2004,Medium
32.75,-4.4667,Amersid,2005,Medium
32.75,-4.4667,Amersid,2008,Medium
32.75,-4.4667,Amersid,2011,Medium
32.75,-4.4667,Amersid,2014,Medium
32.75,-4.4667,Amersid,2017,Medium
32.75,-4.4667,Amersid,2019,Medium
32.75,-4.4667,Amersid,2020,Medium
32.75,-4.4667,Amersid,1983,Low
32.75,-4.4667,Amersid,1984,Low
32.75,-4.4667,Amersid,1985,Low
32.75,-4.4667,Amersid,1992,Low
32.75,-4.4667,Amersid,1995,Low
32.75,-4.4667,Amersid,1999,Low
32.75,-4.4667,Amersid,2000,Low
32.75,-4.4667,Amersid,2002,Low
32.75,-4.4667,Amersid,2016,Low
