lat,lon,city_name,year,cluster
33.7601,-5.4866,Bou Fekrane,1996,High
33.7601,-5.4866,Bou Fekrane,2009,High
33.7601,-5.4866,Bou Fekrane,2010,High
33.7601,-5.4866,Bou Fekrane,2011,High
33.7601,-5.4866,Bou Fekrane,2013,High
33.7601,-5.4866,Bou Fekrane,2018,High
33.7601,-5.4866,Bou Fekrane,1982,Medium
33.7601,-5.4866,Bou Fekrane,1983,Medium
33.7601,-5.4866,Bou Fekrane,1986,Medium
33.7601,-5.4866,Bou Fekrane,1987,Medium
33.7601,-5.4866,Bou Fekrane,1988,Medium
33.7601,-5.4866,Bou Fekrane,1990,Medium
33.7601,-5.4866,Bou Fekrane,1991,Medium
33.7601,-5.4866,Bou Fekrane,1994,Medium
33.7601,-5.4866,Bou Fekrane,1997,Medium
33.7601,-5.4866,Bou Fekrane,1998,Medium
33.7601,-5.4866,Bou Fekrane,2001,Medium
33.7601,-5.4866,Bou Fekrane,2003,Medium
33.7601,-5.4866,Bou Fekrane,2004,Medium
33.7601,-5.4866,Bou Fekrane,2006,Medium
33.7601,-5.4866,Bou Fekrane,2012,Medium
33.7601,-5.4866,Bou Fekrane,2014,Medium
33.7601,-5.4866,Bou Fekrane,2015,Medium
33.7601,-5.4866,Bou Fekrane,2017,Medium
33.7601,-5.4866,Bou Fekrane,2019,Medium
33.7601,-5.4866,Bou Fekrane,2020,Medium
33.7601,-5.4866,Bou Fekrane,1984,Low
33.7601,-5.4866,Bou Fekrane,1985,Low
33.7601,-5.4866,Bou Fekrane,1989,Low
33.7601,-5.4866,Bou Fekrane,1992,Low
33.7601,-5.4866,Bou Fekrane,1993,Low
33.7601,-5.4866,Bou Fekrane,1995,Low
33.7601,-5.4866,Bou Fekrane,1999,Low
33.7601,-5.4866,Bou Fekrane,2000,Low
33.7601,-5.4866,Bou Fekrane,2002,Low
33.7601,-5.4866,Bou Fekrane,2005,Low
33.7601,-5.4866,Bou Fekrane,2007,Low
33.7601,-5.4866,Bou Fekrane,2008,Low
33.7601,-5.4866,Bou Fekrane,2016,Low
