lat,lon,city_name,year,cluster
32.2,-7.3,Chtiba,1982,High
32.2,-7.3,Chtiba,1987,High
32.2,-7.3,Chtiba,1988,High
32.2,-7.3,Chtiba,1989,High
32.2,-7.3,Chtiba,1991,High
32.2,-7.3,Chtiba,1994,High
32.2,-7.3,Chtiba,1996,High
32.2,-7.3,Chtiba,1997,High
32.2,-7.3,Chtiba,2003,High
32.2,-7.3,Chtiba,2006,High
32.2,-7.3,Chtiba,2009,High
32.2,-7.3,Chtiba,2010,High
32.2,-7.3,Chtiba,2011,High
32.2,-7.3,Chtiba,2013,High
32.2,-7.3,Chtiba,2015,High
32.2,-7.3,Chtiba,1985,Medium
32.2,-7.3,Chtiba,1990,Medium
32.2,-7.3,Chtiba,1998,Medium
32.2,-7.3,Chtiba,1999,Medium
32.2,-7.3,Chtiba,2000,Medium
32.2,-7.3,Chtiba,2001,Medium
32.2,-7.3,Chtiba,2004,Medium
32.2,-7.3,Chtiba,2005,Medium
32.2,-7.3,Chtiba,2008,Medium
32.2,-7.3,Chtiba,2012,Medium
32.2,-7.3,Chtiba,2017,Medium
32.2,-7.3,Chtiba,2018,Medium
32.2,-7.3,Chtiba,2019,Medium
32.2,-7.3,Chtiba,1983,Low
32.2,-7.3,Chtiba,1984,Low
32.2,-7.3,Chtiba,1986,Low
32.2,-7.3,Chtiba,1992,Low
32.2,-7.3,Chtiba,1993,Low
32.2,-7.3,Chtiba,1995,Low
32.2,-7.3,Chtiba,2002,Low
32.2,-7.3,Chtiba,2007,Low
32.2,-7.3,Chtiba,2014,Low
32.2,-7.3,Chtiba,2016,Low
32.2,-7.3,Chtiba,2020,Low
