lat,lon,city_name,year,cluster
33.95,-4.45,Douar 'Ayn Dfali,2009,High
33.95,-4.45,Douar 'Ayn Dfali,2010,High
33.95,-4.45,Douar 'Ayn Dfali,2013,High
33.95,-4.45,Douar 'Ayn Dfali,1982,Medium
33.95,-4.45,Douar 'Ayn Dfali,1986,Medium
33.95,-4.45,Douar 'Ayn Dfali,1990,Medium
33.95,-4.45,Douar 'Ayn Dfali,1991,Medium
33.95,-4.45,Douar 'Ayn Dfali,1994,Medium
33.95,-4.45,Douar 'Ayn Dfali,1996,Medium
33.95,-4.45,Douar 'Ayn Dfali,1997,Medium
33.95,-4.45,Douar 'Ayn Dfali,1998,Medium
33.95,-4.45,Douar 'Ayn Dfali,2001,Medium
33.95,-4.45,Douar 'Ayn Dfali,2003,Medium
33.95,-4.45,Douar 'Ayn Dfali,2004,Medium
33.95,-4.45,Douar 'Ayn Dfali,2006,Medium
33.95,-4.45,Douar 'Ayn Dfali,2011,Medium
33.95,-4.45,Douar 'Ayn Dfali,2012,Medium
33.95,-4.45,Douar 'Ayn Dfali,2014,Medium
33.95,-4.45,Douar 'Ayn Dfali,2015,Medium
33.95,-4.45,Douar 'Ayn Dfali,2017,Medium
33.95,-4.45,Douar 'Ayn Dfali,2018,Medium
33.95,-4.45,Douar 'Ayn Dfali,2019,Medium
33.95,-4.45,Douar 'Ayn Dfali,2020,Medium
33.95,-4.45,Douar 'Ayn Dfali,1983,Low
33.95,-4.45,Douar 'Ayn Dfali,1984,Low
33.95,-4.45,Douar 'Ayn Dfali,1985,Low
33.95,-4.45,Douar 'Ayn Dfali,1987,Low
33.95,-4.45,Douar 'Ayn Dfali,1988,Low
33.95,-4.45,Douar 'Ayn Dfali,1989,Low
33.95,-4.45,Douar 'Ayn Dfali,1992,Low
33.95,-4.45,Douar 'Ayn Dfali,1993,Low
33.95,-4.45,Douar 'Ayn Dfali,1995,Low
33.95,-4.45,Douar 'Ayn Dfali,1999,Low
33.95,-4.45,Douar 'Ayn Dfali,2000,Low
33.95,-4.45,Douar 'Ayn Dfali,2002,Low
33.95,-4.45,Douar 'Ayn Dfali,2005,Low
33.95,-4.45,Douar 'Ayn Dfali,2007,Low
33.95,-4.45,Douar 'Ayn Dfali,2008,Low
33.95,-4.45,Douar 'Ayn Dfali,2016,Low
