lat,lon,city_name,year,cluster
34.45,-4.2972,Douar Brarba,2009,High
34.45,-4.2972,Douar Brarba,2010,High
34.45,-4.2972,Douar Brarba,2011,High
34.45,-4.2972,Douar Brarba,2013,High
34.45,-4.2972,Douar Brarba,1982,Medium
34.45,-4.2972,Douar Brarba,1986,Medium
34.45,-4.2972,Douar Brarba,1990,Medium
34.45,-4.2972,Douar Brarba,1991,Medium
34.45,-4.2972,Douar Brarba,1996,Medium
34.45,-4.2972,Douar Brarba,1997,Medium
34.45,-4.2972,Douar Brarba,1998,Medium
34.45,-4.2972,Douar Brarba,2001,Medium
34.45,-4.2972,Douar Brarba,2003,Medium
34.45,-4.2972,Douar Brarba,2004,Medium
34.45,-4.2972,Douar Brarba,2006,Medium
34.45,-4.2972,Douar Brarba,2012,Medium
34.45,-4.2972,Douar Brarba,2015,Medium
34.45,-4.2972,Douar Brarba,2018,Medium
34.45,-4.2972,Douar Brarba,2019,Medium
34.45,-4.2972,Douar Brarba,1983,Low
34.45,-4.2972,Douar Brarba,1984,Low
34.45,-4.2972,Douar Brarba,1985,Low
34.45,-4.2972,Douar Brarba,1987,Low
34.45,-4.2972,Douar Brarba,1988,Low
34.45,-4.2972,Douar Brarba,1989,Low
34.45,-4.2972,Douar Brarba,1992,Low
34.45,-4.2972,Douar Brarba,1993,Low
34.45,-4.2972,Douar Brarba,1994,Low
34.45,-4.2972,Douar Brarba,1995,Low
34.45,-4.2972,Douar Brarba,1999,Low
34.45,-4.2972,Douar Brarba,2000,Low
34.45,-4.2972,Douar Brarba,2002,Low
34.45,-4.2972,Douar Brarba,2005,Low
34.45,-4.2972,Douar Brarba,2007,Low
34.45,-4.2972,Douar Brarba,2008,Low
34.45,-4.2972,Douar Brarba,2014,Low
34.45,-4.2972,Douar Brarba,2016,Low
34.45,-4.2972,Douar Brarba,2017,Low
34.45,-4.2972,Douar Brarba,2020,Low
