lat,lon,city_name,year,cluster
34.2803,-4.5336,Douar Messassa,2009,High
34.2803,-4.5336,Douar Messassa,2010,High
34.2803,-4.5336,Douar Messassa,2011,High
34.2803,-4.5336,Douar Messassa,2013,High
34.2803,-4.5336,Douar Messassa,1982,Medium
34.2803,-4.5336,Douar Messassa,1983,Medium
34.2803,-4.5336,Douar Messassa,1984,Medium
34.2803,-4.5336,Douar Messassa,1986,Medium
34.2803,-4.5336,Douar Messassa,1987,Medium
34.2803,-4.5336,Douar Messassa,1988,Medium
34.2803,-4.5336,Douar Messassa,1990,Medium
34.2803,-4.5336,Douar Messassa,1991,Medium
34.2803,-4.5336,Douar Messassa,1994,Medium
34.2803,-4.5336,Douar Messassa,1996,Medium
34.2803,-4.5336,Douar Messassa,1997,Medium
34.2803,-4.5336,Douar Messassa,1998,Medium
34.2803,-4.5336,Douar Messassa,2001,Medium
34.2803,-4.5336,Douar Messassa,2003,Medium
34.2803,-4.5336,Douar Messassa,2004,Medium
34.2803,-4.5336,Douar Messassa,2006,Medium
34.2803,-4.5336,Douar Messassa,2008,Medium
34.2803,-4.5336,Douar Messassa,2012,Medium
34.2803,-4.5336,Douar Messassa,2014,Medium
34.2803,-4.5336,Douar Messassa,2015,Medium
34.2803,-4.5336,Douar Messassa,2017,Medium
34.2803,-4.5336,Douar Messassa,2018,Medium
34.2803,-4.5336,Douar Messassa,2019,Medium
34.2803,-4.5336,Douar Messassa,2020,Medium
34.2803,-4.5336,Douar Messassa,1985,Low
34.2803,-4.5336,Douar Messassa,1989,Low
34.2803,-4.5336,Douar Messassa,1992,Low
34.2803,-4.5336,Douar Messassa,1993,Low
34.2803,-4.5336,Douar Messassa,1995,Low
34.2803,-4.5336,Douar Messassa,1999,Low
34.2803,-4.5336,Douar Messassa,2000,Low
34.2803,-4.5336,Douar Messassa,2002,Low
34.2803,-4.5336,Douar Messassa,2005,Low
34.2803,-4.5336,Douar Messassa,2007,Low
34.2803,-4.5336,Douar Messassa,2016,Low
