lat,lon,city_name,year,cluster
34.5853,-2.5056,El Aioun,2004,High
34.5853,-2.5056,El Aioun,2009,High
34.5853,-2.5056,El Aioun,2013,High
34.5853,-2.5056,El Aioun,1982,Medium
34.5853,-2.5056,El Aioun,1983,Medium
34.5853,-2.5056,El Aioun,1986,Medium
34.5853,-2.5056,El Aioun,1987,Medium
34.5853,-2.5056,El Aioun,1990,Medium
34.5853,-2.5056,El Aioun,1991,Medium
34.5853,-2.5056,El Aioun,1994,Medium
34.5853,-2.5056,El Aioun,1996,Medium
34.5853,-2.5056,El Aioun,1998,Medium
34.5853,-2.5056,El Aioun,2001,Medium
34.5853,-2.5056,El Aioun,2002,Medium
34.5853,-2.5056,El Aioun,2003,Medium
34.5853,-2.5056,El Aioun,2005,Medium
34.5853,-2.5056,El Aioun,2006,Medium
34.5853,-2.5056,El Aioun,2008,Medium
34.5853,-2.5056,El Aioun,2010,Medium
34.5853,-2.5056,El Aioun,2011,Medium
34.5853,-2.5056,El Aioun,2012,Medium
34.5853,-2.5056,El Aioun,2014,Medium
34.5853,-2.5056,El Aioun,2015,Medium
34.5853,-2.5056,El Aioun,2017,Medium
34.5853,-2.5056,El Aioun,2018,Medium
34.5853,-2.5056,El Aioun,2019,Medium
34.5853,-2.5056,El Aioun,2020,Medium
34.5853,-2.5056,El Aioun,1984,Low
34.5853,-2.5056,El Aioun,1985,Low
34.5853,-2.5056,El Aioun,1988,Low
34.5853,-2.5056,El Aioun,1989,Low
34.5853,-2.5056,El Aioun,1992,Low
34.5853,-2.5056,El Aioun,1993,Low
34.5853,-2.5056,El Aioun,1995,Low
34.5853,-2.5056,El Aioun,1997,Low
34.5853,-2.5056,El Aioun,1999,Low
34.5853,-2.5056,El Aioun,2000,Low
34.5853,-2.5056,El Aioun,2007,Low
34.5853,-2.5056,El Aioun,2016,Low
