lat,lon,city_name,year,cluster
30.1675,-9.2322,Imi Mokorn,1988,High
30.1675,-9.2322,Imi Mokorn,1996,High
30.1675,-9.2322,Imi Mokorn,2010,High
30.1675,-9.2322,Imi Mokorn,2011,High
30.1675,-9.2322,Imi Mokorn,2015,High
30.1675,-9.2322,Imi Mokorn,1982,Medium
30.1675,-9.2322,Imi Mokorn,1985,Medium
30.1675,-9.2322,Imi Mokorn,1987,Medium
30.1675,-9.2322,Imi Mokorn,1989,Medium
30.1675,-9.2322,Imi Mokorn,1990,Medium
30.1675,-9.2322,Imi Mokorn,1991,Medium
30.1675,-9.2322,Imi Mokorn,1997,Medium
30.1675,-9.2322,Imi Mokorn,2009,Medium
30.1675,-9.2322,Imi Mokorn,2013,Medium
30.1675,-9.2322,Imi Mokorn,2017,Medium
30.1675,-9.2322,Imi Mokorn,1983,Low
30.1675,-9.2322,Imi Mokorn,1984,Low
30.1675,-9.2322,Imi Mokorn,1986,Low
30.1675,-9.2322,Imi Mokorn,1992,Low
30.1675,-9.2322,Imi Mokorn,1993,Low
30.1675,-9.2322,Imi Mokorn,1994,Low
30.1675,-9.2322,Imi Mokorn,1995,Low
30.1675,-9.2322,Imi Mokorn,1998,Low
30.1675,-9.2322,Imi Mokorn,1999,Low
30.1675,-9.2322,Imi Mokorn,2000,Low
30.1675,-9.2322,Imi Mokorn,2001,Low
30.1675,-9.2322,Imi Mokorn,2002,Low
30.1675,-9.2322,Imi Mokorn,2003,Low
30.1675,-9.2322,Imi Mokorn,2004,Low
30.1675,-9.2322,Imi Mokorn,2005,Low
30.1675,-9.2322,Imi Mokorn,2006,Low
30.1675,-9.2322,Imi Mokorn,2007,Low
30.1675,-9.2322,Imi Mokorn,2008,Low
30.1675,-9.2322,Imi Mokorn,2012,Low
30.1675,-9.2322,Imi Mokorn,2014,Low
30.1675,-9.2322,Imi Mokorn,2016,Low
30.1675,-9.2322,Imi Mokorn,2018,Low
30.1675,-9.2322,Imi Mokorn,2019,Low
30.1675,-9.2322,Imi Mokorn,2020,Low
