lat,lon,city_name,year,cluster
32.1154,-8.7587,Jdour,1997,High
32.1154,-8.7587,Jdour,2009,High
32.1154,-8.7587,Jdour,2015,High
32.1154,-8.7587,Jdour,1982,Medium
32.1154,-8.7587,Jdour,1985,Medium
32.1154,-8.7587,Jdour,1987,Medium
32.1154,-8.7587,Jdour,1988,Medium
32.1154,-8.7587,Jdour,1989,Medium
32.1154,-8.7587,Jdour,1990,Medium
32.1154,-8.7587,Jdour,1991,Medium
32.1154,-8.7587,Jdour,1994,Medium
32.1154,-8.7587,Jdour,1996,Medium
32.1154,-8.7587,Jdour,2003,Medium
32.1154,-8.7587,Jdour,2004,Medium
32.1154,-8.7587,Jdour,2006,Medium
32.1154,-8.7587,Jdour,2010,Medium
32.1154,-8.7587,Jdour,2011,Medium
32.1154,-8.7587,Jdour,2013,Medium
32.1154,-8.7587,Jdour,2017,Medium
32.1154,-8.7587,Jdour,2018,Medium
32.1154,-8.7587,Jdour,2019,Medium
32.1154,-8.7587,Jdour,1983,Low
32.1154,-8.7587,Jdour,1984,Low
32.1154,-8.7587,Jdour,1986,Low
32.1154,-8.7587,Jdour,1992,Low
32.1154,-8.7587,Jdour,1993,Low
32.1154,-8.7587,Jdour,1995,Low
32.1154,-8.7587,Jdour,1998,Low
32.1154,-8.7587,Jdour,1999,Low
32.1154,-8.7587,Jdour,2000,Low
32.1154,-8.7587,Jdour,2001,Low
32.1154,-8.7587,Jdour,2002,Low
32.1154,-8.7587,Jdour,2005,Low
32.1154,-8.7587,Jdour,2007,Low
32.1154,-8.7587,Jdour,2008,Low
32.1154,-8.7587,Jdour,2012,Low
32.1154,-8.7587,Jdour,2014,Low
32.1154,-8.7587,Jdour,2016,Low
32.1154,-8.7587,Jdour,2020,Low
