lat,lon,city_name,year,cluster
35.1169,-3.4917,Mhajar,2004,High
35.1169,-3.4917,Mhajar,2009,High
35.1169,-3.4917,Mhajar,2010,High
35.1169,-3.4917,Mhajar,2013,High
35.1169,-3.4917,Mhajar,1982,Medium
35.1169,-3.4917,Mhajar,1984,Medium
35.1169,-3.4917,Mhajar,1986,Medium
35.1169,-3.4917,Mhajar,1987,Medium
35.1169,-3.4917,Mhajar,1990,Medium
35.1169,-3.4917,Mhajar,1991,Medium
35.1169,-3.4917,Mhajar,1994,Medium
35.1169,-3.4917,Mhajar,1996,Medium
35.1169,-3.4917,Mhajar,1997,Medium
35.1169,-3.4917,Mhajar,1998,Medium
35.1169,-3.4917,Mhajar,2001,Medium
35.1169,-3.4917,Mhajar,2002,Medium
35.1169,-3.4917,Mhajar,2003,Medium
35.1169,-3.4917,Mhajar,2005,Medium
35.1169,-3.4917,Mhajar,2008,Medium
35.1169,-3.4917,Mhajar,2011,Medium
35.1169,-3.4917,Mhajar,2012,Medium
35.1169,-3.4917,Mhajar,2015,Medium
35.1169,-3.4917,Mhajar,2017,Medium
35.1169,-3.4917,Mhajar,2018,Medium
35.1169,-3.4917,Mhajar,2020,Medium
35.1169,-3.4917,Mhajar,1983,Low
35.1169,-3.4917,Mhajar,1985,Low
35.1169,-3.4917,Mhajar,1988,Low
35.1169,-3.4917,Mhajar,1989,Low
35.1169,-3.4917,Mhajar,1992,Low
35.1169,-3.4917,Mhajar,1993,Low
35.1169,-3.4917,Mhajar,1995,Low
35.1169,-3.4917,Mhajar,1999,Low
35.1169,-3.4917,Mhajar,2000,Low
35.1169,-3.4917,Mhajar,2006,Low
35.1169,-3.4917,Mhajar,2007,Low
35.1169,-3.4917,Mhajar,2014,Low
35.1169,-3.4917,Mhajar,2016,Low
35.1169,-3.4917,Mhajar,2019,Low
