lat,lon,city_name,year,cluster
29.8222,-5.7208,Mhamid el Rhozlane,1988,High
29.8222,-5.7208,Mhamid el Rhozlane,1989,High
29.8222,-5.7208,Mhamid el Rhozlane,1990,High
29.8222,-5.7208,Mhamid el Rhozlane,1994,High
29.8222,-5.7208,Mhamid el Rhozlane,1996,High
29.8222,-5.7208,Mhamid el Rhozlane,2007,High
29.8222,-5.7208,Mhamid el Rhozlane,2009,High
29.8222,-5.7208,Mhamid el Rhozlane,2015,High
29.8222,-5.7208,Mhamid el Rhozlane,1982,Medium
29.8222,-5.7208,Mhamid el Rhozlane,1985,Medium
29.8222,-5.7208,Mhamid el Rhozlane,1986,Medium
29.8222,-5.7208,Mhamid el Rhozlane,1991,Medium
29.8222,-5.7208,Mhamid el Rhozlane,1992,Medium
29.8222,-5.7208,Mhamid el Rhozlane,1995,Medium
29.8222,-5.7208,Mhamid el Rhozlane,1997,Medium
29.8222,-5.7208,Mhamid el Rhozlane,1998,Medium
29.8222,-5.7208,Mhamid el Rhozlane,1999,Medium
29.8222,-5.7208,Mhamid el Rhozlane,2002,Medium
29.8222,-5.7208,Mhamid el Rhozlane,2004,Medium
29.8222,-5.7208,Mhamid el Rhozlane,2005,Medium
29.8222,-5.7208,Mhamid el Rhozlane,2006,Medium
29.8222,-5.7208,Mhamid el Rhozlane,2010,Medium
29.8222,-5.7208,Mhamid el Rhozlane,2011,Medium
29.8222,-5.7208,Mhamid el Rhozlane,2012,Medium
29.8222,-5.7208,Mhamid el Rhozlane,2013,Medium
29.8222,-5.7208,Mhamid el Rhozlane,2014,Medium
29.8222,-5.7208,Mhamid el Rhozlane,2017,Medium
29.8222,-5.7208,Mhamid el Rhozlane,2020,Medium
29.8222,-5.7208,Mhamid el Rhozlane,1983,Low
29.8222,-5.7208,Mhamid el Rhozlane,1984,Low
29.8222,-5.7208,Mhamid el Rhozlane,1987,Low
29.8222,-5.7208,Mhamid el Rhozlane,1993,Low
29.8222,-5.7208,Mhamid el Rhozlane,2000,Low
29.8222,-5.7208,Mhamid el Rhozlane,2001,Low
29.8222,-5.7208,Mhamid el Rhozlane,2003,Low
29.8222,-5.7208,Mhamid el Rhozlane,2008,Low
29.8222,-5.7208,Mhamid el Rhozlane,2016,Low
29.8222,-5.7208,Mhamid el Rhozlane,2018,Low
29.8222,-5.7208,Mhamid el Rhozlane,2019,Low
