lat,lon,city_name,year,cluster
34.4,-4.7167,Moulay Abdelkader,2009,High
34.4,-4.7167,Moulay Abdelkader,2010,High
34.4,-4.7167,Moulay Abdelkader,2011,High
34.4,-4.7167,Moulay Abdelkader,2013,High
34.4,-4.7167,Moulay Abdelkader,1982,Medium
34.4,-4.7167,Moulay Abdelkader,1983,Medium
34.4,-4.7167,Moulay Abdelkader,1984,Medium
34.4,-4.7167,Moulay Abdelkader,1986,Medium
34.4,-4.7167,Moulay Abdelkader,1987,Medium
34.4,-4.7167,Moulay Abdelkader,1988,Medium
34.4,-4.7167,Moulay Abdelkader,1990,Medium
34.4,-4.7167,Moulay Abdelkader,1991,Medium
34.4,-4.7167,Moulay Abdelkader,1994,Medium
34.4,-4.7167,Moulay Abdelkader,1996,Medium
34.4,-4.7167,Moulay Abdelkader,1997,Medium
34.4,-4.7167,Moulay Abdelkader,1998,Medium
34.4,-4.7167,Moulay Abdelkader,2001,Medium
34.4,-4.7167,Moulay Abdelkader,2003,Medium
34.4,-4.7167,Moulay Abdelkader,2004,Medium
34.4,-4.7167,Moulay Abdelkader,2006,Medium
34.4,-4.7167,Moulay Abdelkader,2008,Medium
34.4,-4.7167,Moulay Abdelkader,2012,Medium
34.4,-4.7167,Moulay Abdelkader,2014,Medium
34.4,-4.7167,Moulay Abdelkader,2015,Medium
34.4,-4.7167,Moulay Abdelkader,2017,Medium
34.4,-4.7167,Moulay Abdelkader,2018,Medium
34.4,-4.7167,Moulay Abdelkader,2019,Medium
34.4,-4.7167,Moulay Abdelkader,2020,Medium
34.4,-4.7167,Moulay Abdelkader,1985,Low
34.4,-4.7167,Moulay Abdelkader,1989,Low
34.4,-4.7167,Moulay Abdelkader,1992,Low
34.4,-4.7167,Moulay Abdelkader,1993,Low
34.4,-4.7167,Moulay Abdelkader,1995,Low
34.4,-4.7167,Moulay Abdelkader,1999,Low
34.4,-4.7167,Moulay Abdelkader,2000,Low
34.4,-4.7167,Moulay Abdelkader,2002,Low
34.4,-4.7167,Moulay Abdelkader,2005,Low
34.4,-4.7167,Moulay Abdelkader,2007,Low
34.4,-4.7167,Moulay Abdelkader,2016,Low
