lat,lon,city_name,year,cluster
34.2,-4.2833,Oued Amlil,2009,High
34.2,-4.2833,Oued Amlil,2010,High
34.2,-4.2833,Oued Amlil,2011,High
34.2,-4.2833,Oued Amlil,2013,High
34.2,-4.2833,Oued Amlil,1982,Medium
34.2,-4.2833,Oued Amlil,1986,Medium
34.2,-4.2833,Oued Amlil,1990,Medium
34.2,-4.2833,Oued Amlil,1991,Medium
34.2,-4.2833,Oued Amlil,1996,Medium
34.2,-4.2833,Oued Amlil,1997,Medium
34.2,-4.2833,Oued Amlil,1998,Medium
34.2,-4.2833,Oued Amlil,2001,Medium
34.2,-4.2833,Oued Amlil,2003,Medium
34.2,-4.2833,Oued Amlil,2004,Medium
34.2,-4.2833,Oued Amlil,2006,Medium
34.2,-4.2833,Oued Amlil,2012,Medium
34.2,-4.2833,Oued Amlil,2015,Medium
34.2,-4.2833,Oued Amlil,2018,Medium
34.2,-4.2833,Oued Amlil,2019,Medium
34.2,-4.2833,Oued Amlil,1983,Low
34.2,-4.2833,Oued Amlil,1984,Low
34.2,-4.2833,Oued Amlil,1985,Low
34.2,-4.2833,Oued Amlil,1987,Low
34.2,-4.2833,Oued Amlil,1988,Low
34.2,-4.2833,Oued Amlil,1989,Low
34.2,-4.2833,Oued Amlil,1992,Low
34.2,-4.2833,Oued Amlil,1993,Low
34.2,-4.2833,Oued Amlil,1994,Low
34.2,-4.2833,Oued Amlil,1995,Low
34.2,-4.2833,Oued Amlil,1999,Low
34.2,-4.2833,Oued Amlil,2000,Low
34.2,-4.2833,Oued Amlil,2002,Low
34.2,-4.2833,Oued Amlil,2005,Low
34.2,-4.2833,Oued Amlil,2007,Low
34.2,-4.2833,Oued Amlil,2008,Low
34.2,-4.2833,Oued Amlil,2014,Low
34.2,-4.2833,Oued Amlil,2016,Low
34.2,-4.2833,Oued Amlil,2017,Low
34.2,-4.2833,Oued Amlil,2020,Low
