lat,lon,city_name,year,cluster
35.45,-5.0833,Oued Laou,1990,High
35.45,-5.0833,Oued Laou,1996,High
35.45,-5.0833,Oued Laou,1997,High
35.45,-5.0833,Oued Laou,1998,High
35.45,-5.0833,Oued Laou,2001,High
35.45,-5.0833,Oued Laou,2003,High
35.45,-5.0833,Oued Laou,2004,High
35.45,-5.0833,Oued Laou,2009,High
35.45,-5.0833,Oued Laou,2010,High
35.45,-5.0833,Oued Laou,2011,High
35.45,-5.0833,Oued Laou,2013,High
35.45,-5.0833,Oued Laou,2018,High
35.45,-5.0833,Oued Laou,1982,Medium
35.45,-5.0833,Oued Laou,1984,Medium
35.45,-5.0833,Oued Laou,1986,Medium
35.45,-5.0833,Oued Laou,1989,Medium
35.45,-5.0833,Oued Laou,1991,Medium
35.45,-5.0833,Oued Laou,1994,Medium
35.45,-5.0833,Oued Laou,2002,Medium
35.45,-5.0833,Oued Laou,2006,Medium
35.45,-5.0833,Oued Laou,2015,Medium
35.45,-5.0833,Oued Laou,2017,Medium
35.45,-5.0833,Oued Laou,2019,Medium
35.45,-5.0833,Oued Laou,2020,Medium
35.45,-5.0833,Oued Laou,1983,Low
35.45,-5.0833,Oued Laou,1985,Low
35.45,-5.0833,Oued Laou,1987,Low
35.45,-5.0833,Oued Laou,1988,Low
35.45,-5.0833,Oued Laou,1992,Low
35.45,-5.0833,Oued Laou,1993,Low
35.45,-5.0833,Oued Laou,1995,Low
35.45,-5.0833,Oued Laou,1999,Low
35.45,-5.0833,Oued Laou,2000,Low
35.45,-5.0833,Oued Laou,2005,Low
35.45,-5.0833,Oued Laou,2007,Low
35.45,-5.0833,Oued Laou,2008,Low
35.45,-5.0833,Oued Laou,2012,Low
35.45,-5.0833,Oued Laou,2014,Low
35.45,-5.0833,Oued Laou,2016,Low
