lat,lon,city_name,year,cluster
33.9598,-4.9954,Oulad Tayeb,1996,High
33.9598,-4.9954,Oulad Tayeb,2004,High
33.9598,-4.9954,Oulad Tayeb,2009,High
33.9598,-4.9954,Oulad Tayeb,2010,High
33.9598,-4.9954,Oulad Tayeb,2011,High
33.9598,-4.9954,Oulad Tayeb,2013,High
33.9598,-4.9954,Oulad Tayeb,2015,High
33.9598,-4.9954,Oulad Tayeb,2018,High
33.9598,-4.9954,Oulad Tayeb,1982,Medium
33.9598,-4.9954,Oulad Tayeb,1983,Medium
33.9598,-4.9954,Oulad Tayeb,1986,Medium
33.9598,-4.9954,Oulad Tayeb,1987,Medium
33.9598,-4.9954,Oulad Tayeb,1988,Medium
33.9598,-4.9954,Oulad Tayeb,1990,Medium
33.9598,-4.9954,Oulad Tayeb,1991,Medium
33.9598,-4.9954,Oulad Tayeb,1994,Medium
33.9598,-4.9954,Oulad Tayeb,1997,Medium
33.9598,-4.9954,Oulad Tayeb,1998,Medium
33.9598,-4.9954,Oulad Tayeb,2001,Medium
33.9598,-4.9954,Oulad Tayeb,2003,Medium
33.9598,-4.9954,Oulad Tayeb,2005,Medium
33.9598,-4.9954,Oulad Tayeb,2006,Medium
33.9598,-4.9954,Oulad Tayeb,2008,Medium
33.9598,-4.9954,Oulad Tayeb,2012,Medium
33.9598,-4.9954,Oulad Tayeb,2014,Medium
33.9598,-4.9954,Oulad Tayeb,2017,Medium
33.9598,-4.9954,Oulad Tayeb,2019,Medium
33.9598,-4.9954,Oulad Tayeb,2020,Medium
33.9598,-4.9954,Oulad Tayeb,1984,Low
33.9598,-4.9954,Oulad Tayeb,1985,Low
33.9598,-4.9954,Oulad Tayeb,1989,Low
33.9598,-4.9954,Oulad Tayeb,1992,Low
33.9598,-4.9954,Oulad Tayeb,1993,Low
33.9598,-4.9954,Oulad Tayeb,1995,Low
33.9598,-4.9954,Oulad Tayeb,1999,Low
33.9598,-4.9954,Oulad Tayeb,2000,Low
33.9598,-4.9954,Oulad Tayeb,2002,Low
33.9598,-4.9954,Oulad Tayeb,2007,Low
33.9598,-4.9954,Oulad Tayeb,2016,Low
