lat,lon,city_name,year,cluster
34.3903,-4.5072,Ras El Oued,2009,High
34.3903,-4.5072,Ras El Oued,2010,High
34.3903,-4.5072,Ras El Oued,2011,High
34.3903,-4.5072,Ras El Oued,2013,High
34.3903,-4.5072,Ras El Oued,1982,Medium
34.3903,-4.5072,Ras El Oued,1983,Medium
34.3903,-4.5072,Ras El Oued,1984,Medium
34.3903,-4.5072,Ras El Oued,1986,Medium
34.3903,-4.5072,Ras El Oued,1987,Medium
34.3903,-4.5072,Ras El Oued,1988,Medium
34.3903,-4.5072,Ras El Oued,1990,Medium
34.3903,-4.5072,Ras El Oued,1991,Medium
34.3903,-4.5072,Ras El Oued,1994,Medium
34.3903,-4.5072,Ras El Oued,1996,Medium
34.3903,-4.5072,Ras El Oued,1997,Medium
34.3903,-4.5072,Ras El Oued,1998,Medium
34.3903,-4.5072,Ras El Oued,2001,Medium
34.3903,-4.5072,Ras El Oued,2003,Medium
34.3903,-4.5072,Ras El Oued,2004,Medium
34.3903,-4.5072,Ras El Oued,2006,Medium
34.3903,-4.5072,Ras El Oued,2008,Medium
34.3903,-4.5072,Ras El Oued,2012,Medium
34.3903,-4.5072,Ras El Oued,2014,Medium
34.3903,-4.5072,Ras El Oued,2015,Medium
34.3903,-4.5072,Ras El Oued,2017,Medium
34.3903,-4.5072,Ras El Oued,2018,Medium
34.3903,-4.5072,Ras El Oued,2019,Medium
34.3903,-4.5072,Ras El Oued,2020,Medium
34.3903,-4.5072,Ras El Oued,1985,Low
34.3903,-4.5072,Ras El Oued,1989,Low
34.3903,-4.5072,Ras El Oued,1992,Low
34.3903,-4.5072,Ras El Oued,1993,Low
34.3903,-4.5072,Ras El Oued,1995,Low
34.3903,-4.5072,Ras El Oued,1999,Low
34.3903,-4.5072,Ras El Oued,2000,Low
34.3903,-4.5072,Ras El Oued,2002,Low
34.3903,-4.5072,Ras El Oued,2005,Low
34.3903,-4.5072,Ras El Oued,2007,Low
34.3903,-4.5072,Ras El Oued,2016,Low
