lat,lon,city_name,year,cluster
35.5339,-5.2183,Sidi Kasem,1990,High
35.5339,-5.2183,Sidi Kasem,1996,High
35.5339,-5.2183,Sidi Kasem,1997,High
35.5339,-5.2183,Sidi Kasem,2004,High
35.5339,-5.2183,Sidi Kasem,2009,High
35.5339,-5.2183,Sidi Kasem,2010,High
35.5339,-5.2183,Sidi Kasem,2011,High
35.5339,-5.2183,Sidi Kasem,2013,High
35.5339,-5.2183,Sidi Kasem,1982,Medium
35.5339,-5.2183,Sidi Kasem,1984,Medium
35.5339,-5.2183,Sidi Kasem,1986,Medium
35.5339,-5.2183,Sidi Kasem,1988,Medium
35.5339,-5.2183,Sidi Kasem,1989,Medium
35.5339,-5.2183,Sidi Kasem,1991,Medium
35.5339,-5.2183,Sidi Kasem,1994,Medium
35.5339,-5.2183,Sidi Kasem,1998,Medium
35.5339,-5.2183,Sidi Kasem,2000,Medium
35.5339,-5.2183,Sidi Kasem,2001,Medium
35.5339,-5.2183,Sidi Kasem,2002,Medium
35.5339,-5.2183,Sidi Kasem,2003,Medium
35.5339,-5.2183,Sidi Kasem,2005,Medium
35.5339,-5.2183,Sidi Kasem,2006,Medium
35.5339,-5.2183,Sidi Kasem,2007,Medium
35.5339,-5.2183,Sidi Kasem,2008,Medium
35.5339,-5.2183,Sidi Kasem,2015,Medium
35.5339,-5.2183,Sidi Kasem,2017,Medium
35.5339,-5.2183,Sidi Kasem,2018,Medium
35.5339,-5.2183,Sidi Kasem,2019,Medium
35.5339,-5.2183,Sidi Kasem,2020,Medium
35.5339,-5.2183,Sidi Kasem,1983,Low
35.5339,-5.2183,Sidi Kasem,1985,Low
35.5339,-5.2183,Sidi Kasem,1987,Low
35.5339,-5.2183,Sidi Kasem,1992,Low
35.5339,-5.2183,Sidi Kasem,1993,Low
35.5339,-5.2183,Sidi Kasem,1995,Low
35.5339,-5.2183,Sidi Kasem,1999,Low
35.5339,-5.2183,Sidi Kasem,2012,Low
35.5339,-5.2183,Sidi Kasem,2014,Low
35.5339,-5.2183,Sidi Kasem,2016,Low
