lat,lon,city_name,year,cluster
31.6667,-7.4833,Sidi Rahhal,1982,High
31.6667,-7.4833,Sidi Rahhal,1987,High
31.6667,-7.4833,Sidi Rahhal,1988,High
31.6667,-7.4833,Sidi Rahhal,1989,High
31.6667,-7.4833,Sidi Rahhal,1991,High
31.6667,-7.4833,Sidi Rahhal,1994,High
31.6667,-7.4833,Sidi Rahhal,1996,High
31.6667,-7.4833,Sidi Rahhal,1997,High
31.6667,-7.4833,Sidi Rahhal,2006,High
31.6667,-7.4833,Sidi Rahhal,2009,High
31.6667,-7.4833,Sidi Rahhal,2010,High
31.6667,-7.4833,Sidi Rahhal,2013,High
31.6667,-7.4833,Sidi Rahhal,2015,High
31.6667,-7.4833,Sidi Rahhal,1985,Medium
31.6667,-7.4833,Sidi Rahhal,1990,Medium
31.6667,-7.4833,Sidi Rahhal,1995,Medium
31.6667,-7.4833,Sidi Rahhal,2003,Medium
31.6667,-7.4833,Sidi Rahhal,2008,Medium
31.6667,-7.4833,Sidi Rahhal,2011,Medium
31.6667,-7.4833,Sidi Rahhal,2012,Medium
31.6667,-7.4833,Sidi Rahhal,2017,Medium
31.6667,-7.4833,Sidi Rahhal,2019,Medium
31.6667,-7.4833,Sidi Rahhal,1983,Low
31.6667,-7.4833,Sidi Rahhal,1984,Low
31.6667,-7.4833,Sidi Rahhal,1986,Low
31.6667,-7.4833,Sidi Rahhal,1992,Low
31.6667,-7.4833,Sidi Rahhal,1993,Low
31.6667,-7.4833,Sidi Rahhal,1998,Low
31.6667,-7.4833,Sidi Rahhal,1999,Low
31.6667,-7.4833,Sidi Rahhal,2000,Low
31.6667,-7.4833,Sidi Rahhal,2001,Low
31.6667,-7.4833,Sidi Rahhal,2002,Low
31.6667,-7.4833,Sidi Rahhal,2004,Low
31.6667,-7.4833,Sidi Rahhal,2005,Low
31.6667,-7.4833,Sidi Rahhal,2007,Low
31.6667,-7.4833,Sidi Rahhal,2014,Low
31.6667,-7.4833,Sidi Rahhal,2016,Low
31.6667,-7.4833,Sidi Rahhal,2018,Low
31.6667,-7.4833,Sidi Rahhal,2020,Low
