lat,lon,city_name,year,cluster
30.6281,-5.3556,Taghbalt,1988,High
30.6281,-5.3556,Taghbalt,1989,High
30.6281,-5.3556,Taghbalt,1990,High
30.6281,-5.3556,Taghbalt,1994,High
30.6281,-5.3556,Taghbalt,1996,High
30.6281,-5.3556,Taghbalt,2007,High
30.6281,-5.3556,Taghbalt,2009,High
30.6281,-5.3556,Taghbalt,2015,High
30.6281,-5.3556,Taghbalt,1982,Medium
30.6281,-5.3556,Taghbalt,1985,Medium
30.6281,-5.3556,Taghbalt,1986,Medium
30.6281,-5.3556,Taghbalt,1991,Medium
30.6281,-5.3556,Taghbalt,1992,Medium
30.6281,-5.3556,Taghbalt,1995,Medium
30.6281,-5.3556,Taghbalt,1997,Medium
30.6281,-5.3556,Taghbalt,1998,Medium
30.6281,-5.3556,Taghbalt,1999,Medium
30.6281,-5.3556,Taghbalt,2000,Medium
30.6281,-5.3556,Taghbalt,2002,Medium
30.6281,-5.3556,Taghbalt,2004,Medium
30.6281,-5.3556,Taghbalt,2005,Medium
30.6281,-5.3556,Taghbalt,2006,Medium
30.6281,-5.3556,Taghbalt,2008,Medium
30.6281,-5.3556,Taghbalt,2010,Medium
30.6281,-5.3556,Taghbalt,2011,Medium
30.6281,-5.3556,Taghbalt,2012,Medium
30.6281,-5.3556,Taghbalt,2014,Medium
30.6281,-5.3556,Taghbalt,2017,Medium
30.6281,-5.3556,Taghbalt,2018,Medium
30.6281,-5.3556,Taghbalt,2019,Medium
30.6281,-5.3556,Taghbalt,2020,Medium
30.6281,-5.3556,Taghbalt,1983,Low
30.6281,-5.3556,Taghbalt,1984,Low
30.6281,-5.3556,Taghbalt,1987,Low
30.6281,-5.3556,Taghbalt,1993,Low
30.6281,-5.3556,Taghbalt,2001,Low
30.6281,-5.3556,Taghbalt,2003,Low
30.6281,-5.3556,Taghbalt,2013,Low
30.6281,-5.3556,Taghbalt,2016,Low
