lat,lon,city_name,year,cluster
28.4333,-11.1,Tan-Tan,1985,High
28.4333,-11.1,Tan-Tan,1988,High
28.4333,-11.1,Tan-Tan,1989,High
28.4333,-11.1,Tan-Tan,1990,High
28.4333,-11.1,Tan-Tan,1994,High
28.4333,-11.1,Tan-Tan,1996,High
28.4333,-11.1,Tan-Tan,1997,High
28.4333,-11.1,Tan-Tan,2006,High
28.4333,-11.1,Tan-Tan,2009,High
28.4333,-11.1,Tan-Tan,2011,High
28.4333,-11.1,Tan-Tan,2015,High
28.4333,-11.1,Tan-Tan,2017,High
28.4333,-11.1,Tan-Tan,1982,Medium
28.4333,-11.1,Tan-Tan,1986,Medium
28.4333,-11.1,Tan-Tan,1991,Medium
28.4333,-11.1,Tan-Tan,1992,Medium
28.4333,-11.1,Tan-Tan,1995,Medium
28.4333,-11.1,Tan-Tan,1998,Medium
28.4333,-11.1,Tan-Tan,1999,Medium
28.4333,-11.1,Tan-Tan,2000,Medium
28.4333,-11.1,Tan-Tan,2002,Medium
28.4333,-11.1,Tan-Tan,2003,Medium
28.4333,-11.1,Tan-Tan,2004,Medium
28.4333,-11.1,Tan-Tan,2005,Medium
28.4333,-11.1,Tan-Tan,2007,Medium
28.4333,-11.1,Tan-Tan,2008,Medium
28.4333,-11.1,Tan-Tan,2010,Medium
28.4333,-11.1,Tan-Tan,2013,Medium
28.4333,-11.1,Tan-Tan,2014,Medium
28.4333,-11.1,Tan-Tan,2016,Medium
28.4333,-11.1,Tan-Tan,2018,Medium
28.4333,-11.1,Tan-Tan,2019,Medium
28.4333,-11.1,Tan-Tan,2020,Medium
28.4333,-11.1,Tan-Tan,1983,Low
28.4333,-11.1,Tan-Tan,1984,Low
28.4333,-11.1,Tan-Tan,1987,Low
28.4333,-11.1,Tan-Tan,1993,Low
28.4333,-11.1,Tan-Tan,2001,Low
28.4333,-11.1,Tan-Tan,2012,Low
