lat,lon,city_name,year,cluster
35.5667,-5.3667,Tetouan,1990,High
35.5667,-5.3667,Tetouan,1996,High
35.5667,-5.3667,Tetouan,1997,High
35.5667,-5.3667,Tetouan,2004,High
35.5667,-5.3667,Tetouan,2009,High
35.5667,-5.3667,Tetouan,2010,High
35.5667,-5.3667,Tetouan,2011,High
35.5667,-5.3667,Tetouan,2013,High
35.5667,-5.3667,Tetouan,1982,Medium
35.5667,-5.3667,Tetouan,1984,Medium
35.5667,-5.3667,Tetouan,1986,Medium
35.5667,-5.3667,Tetouan,1988,Medium
35.5667,-5.3667,Tetouan,1989,Medium
35.5667,-5.3667,Tetouan,1991,Medium
35.5667,-5.3667,Tetouan,1994,Medium
35.5667,-5.3667,Tetouan,1998,Medium
35.5667,-5.3667,Tetouan,2000,Medium
35.5667,-5.3667,Tetouan,2001,Medium
35.5667,-5.3667,Tetouan,2002,Medium
35.5667,-5.3667,Tetouan,2003,Medium
35.5667,-5.3667,Tetouan,2005,Medium
35.5667,-5.3667,Tetouan,2006,Medium
35.5667,-5.3667,Tetouan,2007,Medium
35.5667,-5.3667,Tetouan,2008,Medium
35.5667,-5.3667,Tetouan,2015,Medium
35.5667,-5.3667,Tetouan,2017,Medium
35.5667,-5.3667,Tetouan,2018,Medium
35.5667,-5.3667,Tetouan,2019,Medium
35.5667,-5.3667,Tetouan,2020,Medium
35.5667,-5.3667,Tetouan,1983,Low
35.5667,-5.3667,Tetouan,1985,Low
35.5667,-5.3667,Tetouan,1987,Low
35.5667,-5.3667,Tetouan,1992,Low
35.5667,-5.3667,Tetouan,1993,Low
35.5667,-5.3667,Tetouan,1995,Low
35.5667,-5.3667,Tetouan,1999,Low
35.5667,-5.3667,Tetouan,2012,Low
35.5667,-5.3667,Tetouan,2014,Low
35.5667,-5.3667,Tetouan,2016,Low
