lat,lon,city_name,year,cluster
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1982,High
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1988,High
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1996,High
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1997,High
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2009,High
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2010,High
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2011,High
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2015,High
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1985,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1987,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1989,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1990,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1991,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1994,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1998,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1999,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2000,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2002,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2003,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2004,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2005,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2006,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2008,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2012,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2013,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2014,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2017,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2018,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2019,Medium
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1983,Low
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1984,Low
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1986,Low
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1992,Low
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1993,Low
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,1995,Low
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2001,Low
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2007,Low
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2016,Low
31.7547,-9.3717,Zaouiat Sidi Hammou Ben Hmida,2020,Low
