lat,lon,city_name,year,cluster
33.6372,-7.4483,Ain Harrouda,1996,High
33.6372,-7.4483,Ain Harrouda,1997,High
33.6372,-7.4483,Ain Harrouda,2009,High
33.6372,-7.4483,Ain Harrouda,2010,High
33.6372,-7.4483,Ain Harrouda,2011,High
33.6372,-7.4483,Ain Harrouda,2018,High
33.6372,-7.4483,Ain Harrouda,1982,Medium
33.6372,-7.4483,Ain Harrouda,1987,Medium
33.6372,-7.4483,Ain Harrouda,1988,Medium
33.6372,-7.4483,Ain Harrouda,1990,Medium
33.6372,-7.4483,Ain Harrouda,1991,Medium
33.6372,-7.4483,Ain Harrouda,1994,Medium
33.6372,-7.4483,Ain Harrouda,1998,Medium
33.6372,-7.4483,Ain Harrouda,2001,Medium
33.6372,-7.4483,Ain Harrouda,2003,Medium
33.6372,-7.4483,Ain Harrouda,2004,Medium
33.6372,-7.4483,Ain Harrouda,2006,Medium
33.6372,-7.4483,Ain Harrouda,2012,Medium
33.6372,-7.4483,Ain Harrouda,2013,Medium
33.6372,-7.4483,Ain Harrouda,2015,Medium
33.6372,-7.4483,Ain Harrouda,2017,Medium
33.6372,-7.4483,Ain Harrouda,2019,Medium
33.6372,-7.4483,Ain Harrouda,1983,Low
33.6372,-7.4483,Ain Harrouda,1984,Low
33.6372,-7.4483,Ain Harrouda,1985,Low
33.6372,-7.4483,Ain Harrouda,1986,Low
33.6372,-7.4483,Ain Harrouda,1989,Low
33.6372,-7.4483,Ain Harrouda,1992,Low
33.6372,-7.4483,Ain Harrouda,1993,Low
33.6372,-7.4483,Ain Harrouda,1995,Low
33.6372,-7.4483,Ain Harrouda,1999,Low
33.6372,-7.4483,Ain Harrouda,2000,Low
33.6372,-7.4483,Ain Harrouda,2002,Low
33.6372,-7.4483,Ain Harrouda,2005,Low
33.6372,-7.4483,Ain Harrouda,2007,Low
33.6372,-7.4483,Ain Harrouda,2008,Low
33.6372,-7.4483,Ain Harrouda,2014,Low
33.6372,-7.4483,Ain Harrouda,2016,Low
33.6372,-7.4483,Ain Harrouda,2020,Low
