lat,lon,city_name,year,cluster
33.43,-5.21,Azrou,1991,High
33.43,-5.21,Azrou,1996,High
33.43,-5.21,Azrou,1997,High
33.43,-5.21,Azrou,2006,High
33.43,-5.21,Azrou,2009,High
33.43,-5.21,Azrou,2010,High
33.43,-5.21,Azrou,2011,High
33.43,-5.21,Azrou,2013,High
33.43,-5.21,Azrou,2015,High
33.43,-5.21,Azrou,2018,High
33.43,-5.21,Azrou,1982,Medium
33.43,-5.21,Azrou,1987,Medium
33.43,-5.21,Azrou,1988,Medium
33.43,-5.21,Azrou,1990,Medium
33.43,-5.21,Azrou,1994,Medium
33.43,-5.21,Azrou,1998,Medium
33.43,-5.21,Azrou,2001,Medium
33.43,-5.21,Azrou,2003,Medium
33.43,-5.21,Azrou,2004,Medium
33.43,-5.21,Azrou,2012,Medium
33.43,-5.21,Azrou,2014,Medium
33.43,-5.21,Azrou,2017,Medium
33.43,-5.21,Azrou,2019,Medium
33.43,-5.21,Azrou,2020,Medium
33.43,-5.21,Azrou,1983,Low
33.43,-5.21,Azrou,1984,Low
33.43,-5.21,Azrou,1985,Low
33.43,-5.21,Azrou,1986,Low
33.43,-5.21,Azrou,1989,Low
33.43,-5.21,Azrou,1992,Low
33.43,-5.21,Azrou,1993,Low
33.43,-5.21,Azrou,1995,Low
33.43,-5.21,Azrou,1999,Low
33.43,-5.21,Azrou,2000,Low
33.43,-5.21,Azrou,2002,Low
33.43,-5.21,Azrou,2005,Low
33.43,-5.21,Azrou,2007,Low
33.43,-5.21,Azrou,2008,Low
33.43,-5.21,Azrou,2016,Low
