lat,lon,city_name,year,cluster
33.27,-7.5872,Barrechid,1988,High
33.27,-7.5872,Barrechid,1996,High
33.27,-7.5872,Barrechid,1997,High
33.27,-7.5872,Barrechid,2003,High
33.27,-7.5872,Barrechid,2006,High
33.27,-7.5872,Barrechid,2009,High
33.27,-7.5872,Barrechid,2010,High
33.27,-7.5872,Barrechid,2011,High
33.27,-7.5872,Barrechid,2015,High
33.27,-7.5872,Barrechid,2018,High
33.27,-7.5872,Barrechid,1982,Medium
33.27,-7.5872,Barrechid,1987,Medium
33.27,-7.5872,Barrechid,1989,Medium
33.27,-7.5872,Barrechid,1990,Medium
33.27,-7.5872,Barrechid,1991,Medium
33.27,-7.5872,Barrechid,1994,Medium
33.27,-7.5872,Barrechid,2004,Medium
33.27,-7.5872,Barrechid,2013,Medium
33.27,-7.5872,Barrechid,2017,Medium
33.27,-7.5872,Barrechid,2019,Medium
33.27,-7.5872,Barrechid,1983,Low
33.27,-7.5872,Barrechid,1984,Low
33.27,-7.5872,Barrechid,1985,Low
33.27,-7.5872,Barrechid,1986,Low
33.27,-7.5872,Barrechid,1992,Low
33.27,-7.5872,Barrechid,1993,Low
33.27,-7.5872,Barrechid,1995,Low
33.27,-7.5872,Barrechid,1998,Low
33.27,-7.5872,Barrechid,1999,Low
33.27,-7.5872,Barrechid,2000,Low
33.27,-7.5872,Barrechid,2001,Low
33.27,-7.5872,Barrechid,2002,Low
33.27,-7.5872,Barrechid,2005,Low
33.27,-7.5872,Barrechid,2007,Low
33.27,-7.5872,Barrechid,2008,Low
33.27,-7.5872,Barrechid,2012,Low
33.27,-7.5872,Barrechid,2014,Low
33.27,-7.5872,Barrechid,2016,Low
33.27,-7.5872,Barrechid,2020,Low
