lat,lon,city_name,year,cluster
34.4333,-5.4,Beni Oual Sehira,2009,High
34.4333,-5.4,Beni Oual Sehira,2010,High
34.4333,-5.4,Beni Oual Sehira,2011,High
34.4333,-5.4,Beni Oual Sehira,2013,High
34.4333,-5.4,Beni Oual Sehira,1982,Medium
34.4333,-5.4,Beni Oual Sehira,1983,Medium
34.4333,-5.4,Beni Oual Sehira,1984,Medium
34.4333,-5.4,Beni Oual Sehira,1986,Medium
34.4333,-5.4,Beni Oual Sehira,1987,Medium
34.4333,-5.4,Beni Oual Sehira,1988,Medium
34.4333,-5.4,Beni Oual Sehira,1989,Medium
34.4333,-5.4,Beni Oual Sehira,1990,Medium
34.4333,-5.4,Beni Oual Sehira,1991,Medium
34.4333,-5.4,Beni Oual Sehira,1994,Medium
34.4333,-5.4,Beni Oual Sehira,1996,Medium
34.4333,-5.4,Beni Oual Sehira,1997,Medium
34.4333,-5.4,Beni Oual Sehira,1998,Medium
34.4333,-5.4,Beni Oual Sehira,2001,Medium
34.4333,-5.4,Beni Oual Sehira,2003,Medium
34.4333,-5.4,Beni Oual Sehira,2004,Medium
34.4333,-5.4,Beni Oual Sehira,2006,Medium
34.4333,-5.4,Beni Oual Sehira,2007,Medium
34.4333,-5.4,Beni Oual Sehira,2008,Medium
34.4333,-5.4,Beni Oual Sehira,2012,Medium
34.4333,-5.4,Beni Oual Sehira,2014,Medium
34.4333,-5.4,Beni Oual Sehira,2015,Medium
34.4333,-5.4,Beni Oual Sehira,2017,Medium
34.4333,-5.4,Beni Oual Sehira,2018,Medium
34.4333,-5.4,Beni Oual Sehira,2019,Medium
34.4333,-5.4,Beni Oual Sehira,2020,Medium
34.4333,-5.4,Beni Oual Sehira,1985,Low
34.4333,-5.4,Beni Oual Sehira,1992,Low
34.4333,-5.4,Beni Oual Sehira,1993,Low
34.4333,-5.4,Beni Oual Sehira,1995,Low
34.4333,-5.4,Beni Oual Sehira,1999,Low
34.4333,-5.4,Beni Oual Sehira,2000,Low
34.4333,-5.4,Beni Oual Sehira,2002,Low
34.4333,-5.4,Beni Oual Sehira,2005,Low
34.4333,-5.4,Beni Oual Sehira,2016,Low
