lat,lon,city_name,year,cluster
35.0728,-4.0706,Bni Abdellah,2004,High
35.0728,-4.0706,Bni Abdellah,2009,High
35.0728,-4.0706,Bni Abdellah,2010,High
35.0728,-4.0706,Bni Abdellah,2011,High
35.0728,-4.0706,Bni Abdellah,2013,High
35.0728,-4.0706,Bni Abdellah,1982,Medium
35.0728,-4.0706,Bni Abdellah,1984,Medium
35.0728,-4.0706,Bni Abdellah,1986,Medium
35.0728,-4.0706,Bni Abdellah,1989,Medium
35.0728,-4.0706,Bni Abdellah,1990,Medium
35.0728,-4.0706,Bni Abdellah,1991,Medium
35.0728,-4.0706,Bni Abdellah,1994,Medium
35.0728,-4.0706,Bni Abdellah,1996,Medium
35.0728,-4.0706,Bni Abdellah,1997,Medium
35.0728,-4.0706,Bni Abdellah,1998,Medium
35.0728,-4.0706,Bni Abdellah,2001,Medium
35.0728,-4.0706,Bni Abdellah,2002,Medium
35.0728,-4.0706,Bni Abdellah,2003,Medium
35.0728,-4.0706,Bni Abdellah,2005,Medium
35.0728,-4.0706,Bni Abdellah,2006,Medium
35.0728,-4.0706,Bni Abdellah,2007,Medium
35.0728,-4.0706,Bni Abdellah,2008,Medium
35.0728,-4.0706,Bni Abdellah,2012,Medium
35.0728,-4.0706,Bni Abdellah,2015,Medium
35.0728,-4.0706,Bni Abdellah,2017,Medium
35.0728,-4.0706,Bni Abdellah,2018,Medium
35.0728,-4.0706,Bni Abdellah,2019,Medium
35.0728,-4.0706,Bni Abdellah,2020,Medium
35.0728,-4.0706,Bni Abdellah,1983,Low
35.0728,-4.0706,Bni Abdellah,1985,Low
35.0728,-4.0706,Bni Abdellah,1987,Low
35.0728,-4.0706,Bni Abdellah,1988,Low
35.0728,-4.0706,Bni Abdellah,1992,Low
35.0728,-4.0706,Bni Abdellah,1993,Low
35.0728,-4.0706,Bni Abdellah,1995,Low
35.0728,-4.0706,Bni Abdellah,1999,Low
35.0728,-4.0706,Bni Abdellah,2000,Low
35.0728,-4.0706,Bni Abdellah,2014,Low
35.0728,-4.0706,Bni Abdellah,2016,Low
