lat,lon,city_name,year,cluster
35.0108,-4.7262,Bni Rzine,2009,High
35.0108,-4.7262,Bni Rzine,2010,High
35.0108,-4.7262,Bni Rzine,2011,High
35.0108,-4.7262,Bni Rzine,2013,High
35.0108,-4.7262,Bni Rzine,1982,Medium
35.0108,-4.7262,Bni Rzine,1984,Medium
35.0108,-4.7262,Bni Rzine,1986,Medium
35.0108,-4.7262,Bni Rzine,1989,Medium
35.0108,-4.7262,Bni Rzine,1990,Medium
35.0108,-4.7262,Bni Rzine,1991,Medium
35.0108,-4.7262,Bni Rzine,1994,Medium
35.0108,-4.7262,Bni Rzine,1996,Medium
35.0108,-4.7262,Bni Rzine,1997,Medium
35.0108,-4.7262,Bni Rzine,1998,Medium
35.0108,-4.7262,Bni Rzine,2001,Medium
35.0108,-4.7262,Bni Rzine,2002,Medium
35.0108,-4.7262,Bni Rzine,2003,Medium
35.0108,-4.7262,Bni Rzine,2004,Medium
35.0108,-4.7262,Bni Rzine,2005,Medium
35.0108,-4.7262,Bni Rzine,2006,Medium
35.0108,-4.7262,Bni Rzine,2008,Medium
35.0108,-4.7262,Bni Rzine,2015,Medium
35.0108,-4.7262,Bni Rzine,2017,Medium
35.0108,-4.7262,Bni Rzine,2018,Medium
35.0108,-4.7262,Bni Rzine,2019,Medium
35.0108,-4.7262,Bni Rzine,2020,Medium
35.0108,-4.7262,Bni Rzine,1983,Low
35.0108,-4.7262,Bni Rzine,1985,Low
35.0108,-4.7262,Bni Rzine,1987,Low
35.0108,-4.7262,Bni Rzine,1988,Low
35.0108,-4.7262,Bni Rzine,1992,Low
35.0108,-4.7262,Bni Rzine,1993,Low
35.0108,-4.7262,Bni Rzine,1995,Low
35.0108,-4.7262,Bni Rzine,1999,Low
35.0108,-4.7262,Bni Rzine,2000,Low
35.0108,-4.7262,Bni Rzine,2007,Low
35.0108,-4.7262,Bni Rzine,2012,Low
35.0108,-4.7262,Bni Rzine,2014,Low
35.0108,-4.7262,Bni Rzine,2016,Low
