lat,lon,city_name,year,cluster
32.3011,-7.2053,Douar Oulad Jaber,1982,High
32.3011,-7.2053,Douar Oulad Jaber,1987,High
32.3011,-7.2053,Douar Oulad Jaber,1988,High
32.3011,-7.2053,Douar Oulad Jaber,1989,High
32.3011,-7.2053,Douar Oulad Jaber,1991,High
32.3011,-7.2053,Douar Oulad Jaber,1994,High
32.3011,-7.2053,Douar Oulad Jaber,1996,High
32.3011,-7.2053,Douar Oulad Jaber,1997,High
32.3011,-7.2053,Douar Oulad Jaber,2006,High
32.3011,-7.2053,Douar Oulad Jaber,2009,High
32.3011,-7.2053,Douar Oulad Jaber,2010,High
32.3011,-7.2053,Douar Oulad Jaber,2011,High
32.3011,-7.2053,Douar Oulad Jaber,2013,High
32.3011,-7.2053,Douar Oulad Jaber,2015,High
32.3011,-7.2053,Douar Oulad Jaber,2018,High
32.3011,-7.2053,Douar Oulad Jaber,1985,Medium
32.3011,-7.2053,Douar Oulad Jaber,1990,Medium
32.3011,-7.2053,Douar Oulad Jaber,1998,Medium
32.3011,-7.2053,Douar Oulad Jaber,1999,Medium
32.3011,-7.2053,Douar Oulad Jaber,2000,Medium
32.3011,-7.2053,Douar Oulad Jaber,2001,Medium
32.3011,-7.2053,Douar Oulad Jaber,2003,Medium
32.3011,-7.2053,Douar Oulad Jaber,2004,Medium
32.3011,-7.2053,Douar Oulad Jaber,2005,Medium
32.3011,-7.2053,Douar Oulad Jaber,2008,Medium
32.3011,-7.2053,Douar Oulad Jaber,2012,Medium
32.3011,-7.2053,Douar Oulad Jaber,2017,Medium
32.3011,-7.2053,Douar Oulad Jaber,2019,Medium
32.3011,-7.2053,Douar Oulad Jaber,1983,Low
32.3011,-7.2053,Douar Oulad Jaber,1984,Low
32.3011,-7.2053,Douar Oulad Jaber,1986,Low
32.3011,-7.2053,Douar Oulad Jaber,1992,Low
32.3011,-7.2053,Douar Oulad Jaber,1993,Low
32.3011,-7.2053,Douar Oulad Jaber,1995,Low
32.3011,-7.2053,Douar Oulad Jaber,2002,Low
32.3011,-7.2053,Douar Oulad Jaber,2007,Low
32.3011,-7.2053,Douar Oulad Jaber,2014,Low
32.3011,-7.2053,Douar Oulad Jaber,2016,Low
32.3011,-7.2053,Douar Oulad Jaber,2020,Low
