lat,lon,city_name,year,cluster
33.2566,-8.5025,El Jadid,1996,High
33.2566,-8.5025,El Jadid,1997,High
33.2566,-8.5025,El Jadid,1982,Medium
33.2566,-8.5025,El Jadid,1985,Medium
33.2566,-8.5025,El Jadid,1987,Medium
33.2566,-8.5025,El Jadid,1988,Medium
33.2566,-8.5025,El Jadid,1989,Medium
33.2566,-8.5025,El Jadid,1990,Medium
33.2566,-8.5025,El Jadid,1991,Medium
33.2566,-8.5025,El Jadid,1994,Medium
33.2566,-8.5025,El Jadid,2003,Medium
33.2566,-8.5025,El Jadid,2004,Medium
33.2566,-8.5025,El Jadid,2006,Medium
33.2566,-8.5025,El Jadid,2009,Medium
33.2566,-8.5025,El Jadid,2010,Medium
33.2566,-8.5025,El Jadid,2011,Medium
33.2566,-8.5025,El Jadid,2013,Medium
33.2566,-8.5025,El Jadid,2015,Medium
33.2566,-8.5025,El Jadid,2017,Medium
33.2566,-8.5025,El Jadid,2018,Medium
33.2566,-8.5025,El Jadid,2019,Medium
33.2566,-8.5025,El Jadid,1983,Low
33.2566,-8.5025,El Jadid,1984,Low
33.2566,-8.5025,El Jadid,1986,Low
33.2566,-8.5025,El Jadid,1992,Low
33.2566,-8.5025,El Jadid,1993,Low
33.2566,-8.5025,El Jadid,1995,Low
33.2566,-8.5025,El Jadid,1998,Low
33.2566,-8.5025,El Jadid,1999,Low
33.2566,-8.5025,El Jadid,2000,Low
33.2566,-8.5025,El Jadid,2001,Low
33.2566,-8.5025,El Jadid,2002,Low
33.2566,-8.5025,El Jadid,2005,Low
33.2566,-8.5025,El Jadid,2007,Low
33.2566,-8.5025,El Jadid,2008,Low
33.2566,-8.5025,El Jadid,2012,Low
33.2566,-8.5025,El Jadid,2014,Low
33.2566,-8.5025,El Jadid,2016,Low
33.2566,-8.5025,El Jadid,2020,Low
