lat,lon,city_name,year,cluster
33.3,-6.5333,Ezzhiliga,1996,High
33.3,-6.5333,Ezzhiliga,1997,High
33.3,-6.5333,Ezzhiliga,2006,High
33.3,-6.5333,Ezzhiliga,2009,High
33.3,-6.5333,Ezzhiliga,2010,High
33.3,-6.5333,Ezzhiliga,2011,High
33.3,-6.5333,Ezzhiliga,2013,High
33.3,-6.5333,Ezzhiliga,2015,High
33.3,-6.5333,Ezzhiliga,2018,High
33.3,-6.5333,Ezzhiliga,1982,Medium
33.3,-6.5333,Ezzhiliga,1987,Medium
33.3,-6.5333,Ezzhiliga,1988,Medium
33.3,-6.5333,Ezzhiliga,1989,Medium
33.3,-6.5333,Ezzhiliga,1990,Medium
33.3,-6.5333,Ezzhiliga,1991,Medium
33.3,-6.5333,Ezzhiliga,1994,Medium
33.3,-6.5333,Ezzhiliga,1998,Medium
33.3,-6.5333,Ezzhiliga,2003,Medium
33.3,-6.5333,Ezzhiliga,2004,Medium
33.3,-6.5333,Ezzhiliga,2012,Medium
33.3,-6.5333,Ezzhiliga,2017,Medium
33.3,-6.5333,Ezzhiliga,2019,Medium
33.3,-6.5333,Ezzhiliga,1983,Low
33.3,-6.5333,Ezzhiliga,1984,Low
33.3,-6.5333,Ezzhiliga,1985,Low
33.3,-6.5333,Ezzhiliga,1986,Low
33.3,-6.5333,Ezzhiliga,1992,Low
33.3,-6.5333,Ezzhiliga,1993,Low
33.3,-6.5333,Ezzhiliga,1995,Low
33.3,-6.5333,Ezzhiliga,1999,Low
33.3,-6.5333,Ezzhiliga,2000,Low
33.3,-6.5333,Ezzhiliga,2001,Low
33.3,-6.5333,Ezzhiliga,2002,Low
33.3,-6.5333,Ezzhiliga,2005,Low
33.3,-6.5333,Ezzhiliga,2007,Low
33.3,-6.5333,Ezzhiliga,2008,Low
33.3,-6.5333,Ezzhiliga,2014,Low
33.3,-6.5333,Ezzhiliga,2016,Low
33.3,-6.5333,Ezzhiliga,2020,Low
