lat,lon,city_name,year,cluster
35.067,-3.967,Iaboutene,2004,High
35.067,-3.967,Iaboutene,2009,High
35.067,-3.967,Iaboutene,2010,High
35.067,-3.967,Iaboutene,2013,High
35.067,-3.967,Iaboutene,1984,Medium
35.067,-3.967,Iaboutene,1986,Medium
35.067,-3.967,Iaboutene,1989,Medium
35.067,-3.967,Iaboutene,1990,Medium
35.067,-3.967,Iaboutene,1991,Medium
35.067,-3.967,Iaboutene,1994,Medium
35.067,-3.967,Iaboutene,1996,Medium
35.067,-3.967,Iaboutene,1997,Medium
35.067,-3.967,Iaboutene,1998,Medium
35.067,-3.967,Iaboutene,2001,Medium
35.067,-3.967,Iaboutene,2002,Medium
35.067,-3.967,Iaboutene,2003,Medium
35.067,-3.967,Iaboutene,2005,Medium
35.067,-3.967,Iaboutene,2008,Medium
35.067,-3.967,Iaboutene,2011,Medium
35.067,-3.967,Iaboutene,2012,Medium
35.067,-3.967,Iaboutene,2015,Medium
35.067,-3.967,Iaboutene,2017,Medium
35.067,-3.967,Iaboutene,2018,Medium
35.067,-3.967,Iaboutene,2019,Medium
35.067,-3.967,Iaboutene,2020,Medium
35.067,-3.967,Iaboutene,1982,Low
35.067,-3.967,Iaboutene,1983,Low
35.067,-3.967,Iaboutene,1985,Low
35.067,-3.967,Iaboutene,1987,Low
35.067,-3.967,Iaboutene,1988,Low
35.067,-3.967,Iaboutene,1992,Low
35.067,-3.967,Iaboutene,1993,Low
35.067,-3.967,Iaboutene,1995,Low
35.067,-3.967,Iaboutene,1999,Low
35.067,-3.967,Iaboutene,2000,Low
35.067,-3.967,Iaboutene,2006,Low
35.067,-3.967,Iaboutene,2007,Low
35.067,-3.967,Iaboutene,2014,Low
35.067,-3.967,Iaboutene,2016,Low
