lat,lon,city_name,year,cluster
35.1333,-3.0333,Iksane,2004,High
35.1333,-3.0333,Iksane,2009,High
35.1333,-3.0333,Iksane,2010,High
35.1333,-3.0333,Iksane,2013,High
35.1333,-3.0333,Iksane,1982,Medium
35.1333,-3.0333,Iksane,1984,Medium
35.1333,-3.0333,Iksane,1986,Medium
35.1333,-3.0333,Iksane,1987,Medium
35.1333,-3.0333,Iksane,1990,Medium
35.1333,-3.0333,Iksane,1991,Medium
35.1333,-3.0333,Iksane,1994,Medium
35.1333,-3.0333,Iksane,1996,Medium
35.1333,-3.0333,Iksane,1997,Medium
35.1333,-3.0333,Iksane,1998,Medium
35.1333,-3.0333,Iksane,2001,Medium
35.1333,-3.0333,Iksane,2002,Medium
35.1333,-3.0333,Iksane,2003,Medium
35.1333,-3.0333,Iksane,2005,Medium
35.1333,-3.0333,Iksane,2008,Medium
35.1333,-3.0333,Iksane,2011,Medium
35.1333,-3.0333,Iksane,2012,Medium
35.1333,-3.0333,Iksane,2015,Medium
35.1333,-3.0333,Iksane,2017,Medium
35.1333,-3.0333,Iksane,2018,Medium
35.1333,-3.0333,Iksane,2019,Medium
35.1333,-3.0333,Iksane,2020,Medium
35.1333,-3.0333,Iksane,1983,Low
35.1333,-3.0333,Iksane,1985,Low
35.1333,-3.0333,Iksane,1988,Low
35.1333,-3.0333,Iksane,1989,Low
35.1333,-3.0333,Iksane,1992,Low
35.1333,-3.0333,Iksane,1993,Low
35.1333,-3.0333,Iksane,1995,Low
35.1333,-3.0333,Iksane,1999,Low
35.1333,-3.0333,Iksane,2000,Low
35.1333,-3.0333,Iksane,2006,Low
35.1333,-3.0333,Iksane,2007,Low
35.1333,-3.0333,Iksane,2014,Low
35.1333,-3.0333,Iksane,2016,Low
