lat,lon,city_name,year,cluster
31.1097,-8.1336,Imigdal,1988,High
31.1097,-8.1336,Imigdal,1996,High
31.1097,-8.1336,Imigdal,2009,High
31.1097,-8.1336,Imigdal,2015,High
31.1097,-8.1336,Imigdal,1982,Medium
31.1097,-8.1336,Imigdal,1985,Medium
31.1097,-8.1336,Imigdal,1989,Medium
31.1097,-8.1336,Imigdal,1990,Medium
31.1097,-8.1336,Imigdal,1991,Medium
31.1097,-8.1336,Imigdal,1994,Medium
31.1097,-8.1336,Imigdal,1997,Medium
31.1097,-8.1336,Imigdal,2006,Medium
31.1097,-8.1336,Imigdal,2010,Medium
31.1097,-8.1336,Imigdal,2011,Medium
31.1097,-8.1336,Imigdal,2013,Medium
31.1097,-8.1336,Imigdal,1983,Low
31.1097,-8.1336,Imigdal,1984,Low
31.1097,-8.1336,Imigdal,1986,Low
31.1097,-8.1336,Imigdal,1987,Low
31.1097,-8.1336,Imigdal,1992,Low
31.1097,-8.1336,Imigdal,1993,Low
31.1097,-8.1336,Imigdal,1995,Low
31.1097,-8.1336,Imigdal,1998,Low
31.1097,-8.1336,Imigdal,1999,Low
31.1097,-8.1336,Imigdal,2000,Low
31.1097,-8.1336,Imigdal,2001,Low
31.1097,-8.1336,Imigdal,2002,Low
31.1097,-8.1336,Imigdal,2003,Low
31.1097,-8.1336,Imigdal,2004,Low
31.1097,-8.1336,Imigdal,2005,Low
31.1097,-8.1336,Imigdal,2007,Low
31.1097,-8.1336,Imigdal,2008,Low
31.1097,-8.1336,Imigdal,2012,Low
31.1097,-8.1336,Imigdal,2014,Low
31.1097,-8.1336,Imigdal,2016,Low
31.1097,-8.1336,Imigdal,2017,Low
31.1097,-8.1336,Imigdal,2018,Low
31.1097,-8.1336,Imigdal,2019,Low
31.1097,-8.1336,Imigdal,2020,Low
