lat,lon,city_name,year,cluster
32.155,-5.6347,Imilchil,1982,High
32.155,-5.6347,Imilchil,1987,High
32.155,-5.6347,Imilchil,1996,High
32.155,-5.6347,Imilchil,2010,High
32.155,-5.6347,Imilchil,1988,Medium
32.155,-5.6347,Imilchil,1989,Medium
32.155,-5.6347,Imilchil,1990,Medium
32.155,-5.6347,Imilchil,1991,Medium
32.155,-5.6347,Imilchil,1994,Medium
32.155,-5.6347,Imilchil,1997,Medium
32.155,-5.6347,Imilchil,2006,Medium
32.155,-5.6347,Imilchil,2009,Medium
32.155,-5.6347,Imilchil,2011,Medium
32.155,-5.6347,Imilchil,2012,Medium
32.155,-5.6347,Imilchil,2013,Medium
32.155,-5.6347,Imilchil,2015,Medium
32.155,-5.6347,Imilchil,2018,Medium
32.155,-5.6347,Imilchil,1983,Low
32.155,-5.6347,Imilchil,1984,Low
32.155,-5.6347,Imilchil,1985,Low
32.155,-5.6347,Imilchil,1986,Low
32.155,-5.6347,Imilchil,1992,Low
32.155,-5.6347,Imilchil,1993,Low
32.155,-5.6347,Imilchil,1995,Low
32.155,-5.6347,Imilchil,1998,Low
32.155,-5.6347,Imilchil,1999,Low
32.155,-5.6347,Imilchil,2000,Low
32.155,-5.6347,Imilchil,2001,Low
32.155,-5.6347,Imilchil,2002,Low
32.155,-5.6347,Imilchil,2003,Low
32.155,-5.6347,Imilchil,2004,Low
32.155,-5.6347,Imilchil,2005,Low
32.155,-5.6347,Imilchil,2007,Low
32.155,-5.6347,Imilchil,2008,Low
32.155,-5.6347,Imilchil,2014,Low
32.155,-5.6347,Imilchil,2016,Low
32.155,-5.6347,Imilchil,2017,Low
32.155,-5.6347,Imilchil,2019,Low
32.155,-5.6347,Imilchil,2020,Low
