lat,lon,city_name,year,cluster
30.8434,-9.8186,Iskourane,1988,High
30.8434,-9.8186,Iskourane,1996,High
30.8434,-9.8186,Iskourane,2010,High
30.8434,-9.8186,Iskourane,2011,High
30.8434,-9.8186,Iskourane,2015,High
30.8434,-9.8186,Iskourane,1982,Medium
30.8434,-9.8186,Iskourane,1985,Medium
30.8434,-9.8186,Iskourane,1987,Medium
30.8434,-9.8186,Iskourane,1989,Medium
30.8434,-9.8186,Iskourane,1990,Medium
30.8434,-9.8186,Iskourane,1991,Medium
30.8434,-9.8186,Iskourane,1994,Medium
30.8434,-9.8186,Iskourane,1997,Medium
30.8434,-9.8186,Iskourane,1998,Medium
30.8434,-9.8186,Iskourane,2002,Medium
30.8434,-9.8186,Iskourane,2003,Medium
30.8434,-9.8186,Iskourane,2004,Medium
30.8434,-9.8186,Iskourane,2006,Medium
30.8434,-9.8186,Iskourane,2009,Medium
30.8434,-9.8186,Iskourane,2013,Medium
30.8434,-9.8186,Iskourane,2017,Medium
30.8434,-9.8186,Iskourane,1983,Low
30.8434,-9.8186,Iskourane,1984,Low
30.8434,-9.8186,Iskourane,1986,Low
30.8434,-9.8186,Iskourane,1992,Low
30.8434,-9.8186,Iskourane,1993,Low
30.8434,-9.8186,Iskourane,1995,Low
30.8434,-9.8186,Iskourane,1999,Low
30.8434,-9.8186,Iskourane,2000,Low
30.8434,-9.8186,Iskourane,2001,Low
30.8434,-9.8186,Iskourane,2005,Low
30.8434,-9.8186,Iskourane,2007,Low
30.8434,-9.8186,Iskourane,2008,Low
30.8434,-9.8186,Iskourane,2012,Low
30.8434,-9.8186,Iskourane,2014,Low
30.8434,-9.8186,Iskourane,2016,Low
30.8434,-9.8186,Iskourane,2018,Low
30.8434,-9.8186,Iskourane,2019,Low
30.8434,-9.8186,Iskourane,2020,Low
