lat,lon,city_name,year,cluster
33.7983,-6.2653,Khmis Sidi Yahia,2009,High
33.7983,-6.2653,Khmis Sidi Yahia,2010,High
33.7983,-6.2653,Khmis Sidi Yahia,2011,High
33.7983,-6.2653,Khmis Sidi Yahia,2013,High
33.7983,-6.2653,Khmis Sidi Yahia,2018,High
33.7983,-6.2653,Khmis Sidi Yahia,1982,Medium
33.7983,-6.2653,Khmis Sidi Yahia,1987,Medium
33.7983,-6.2653,Khmis Sidi Yahia,1988,Medium
33.7983,-6.2653,Khmis Sidi Yahia,1990,Medium
33.7983,-6.2653,Khmis Sidi Yahia,1991,Medium
33.7983,-6.2653,Khmis Sidi Yahia,1994,Medium
33.7983,-6.2653,Khmis Sidi Yahia,1996,Medium
33.7983,-6.2653,Khmis Sidi Yahia,1997,Medium
33.7983,-6.2653,Khmis Sidi Yahia,1998,Medium
33.7983,-6.2653,Khmis Sidi Yahia,2001,Medium
33.7983,-6.2653,Khmis Sidi Yahia,2003,Medium
33.7983,-6.2653,Khmis Sidi Yahia,2004,Medium
33.7983,-6.2653,Khmis Sidi Yahia,2006,Medium
33.7983,-6.2653,Khmis Sidi Yahia,2012,Medium
33.7983,-6.2653,Khmis Sidi Yahia,2014,Medium
33.7983,-6.2653,Khmis Sidi Yahia,2015,Medium
33.7983,-6.2653,Khmis Sidi Yahia,2017,Medium
33.7983,-6.2653,Khmis Sidi Yahia,2019,Medium
33.7983,-6.2653,Khmis Sidi Yahia,1983,Low
33.7983,-6.2653,Khmis Sidi Yahia,1984,Low
33.7983,-6.2653,Khmis Sidi Yahia,1985,Low
33.7983,-6.2653,Khmis Sidi Yahia,1986,Low
33.7983,-6.2653,Khmis Sidi Yahia,1989,Low
33.7983,-6.2653,Khmis Sidi Yahia,1992,Low
33.7983,-6.2653,Khmis Sidi Yahia,1993,Low
33.7983,-6.2653,Khmis Sidi Yahia,1995,Low
33.7983,-6.2653,Khmis Sidi Yahia,1999,Low
33.7983,-6.2653,Khmis Sidi Yahia,2000,Low
33.7983,-6.2653,Khmis Sidi Yahia,2002,Low
33.7983,-6.2653,Khmis Sidi Yahia,2005,Low
33.7983,-6.2653,Khmis Sidi Yahia,2007,Low
33.7983,-6.2653,Khmis Sidi Yahia,2008,Low
33.7983,-6.2653,Khmis Sidi Yahia,2016,Low
33.7983,-6.2653,Khmis Sidi Yahia,2020,Low
