lat,lon,city_name,year,cluster
34.6,-5.0833,Kissane Ltouqi,1996,High
34.6,-5.0833,Kissane Ltouqi,2009,High
34.6,-5.0833,Kissane Ltouqi,2010,High
34.6,-5.0833,Kissane Ltouqi,2011,High
34.6,-5.0833,Kissane Ltouqi,2013,High
34.6,-5.0833,Kissane Ltouqi,2018,High
34.6,-5.0833,Kissane Ltouqi,1982,Medium
34.6,-5.0833,Kissane Ltouqi,1984,Medium
34.6,-5.0833,Kissane Ltouqi,1986,Medium
34.6,-5.0833,Kissane Ltouqi,1990,Medium
34.6,-5.0833,Kissane Ltouqi,1991,Medium
34.6,-5.0833,Kissane Ltouqi,1997,Medium
34.6,-5.0833,Kissane Ltouqi,1998,Medium
34.6,-5.0833,Kissane Ltouqi,2001,Medium
34.6,-5.0833,Kissane Ltouqi,2003,Medium
34.6,-5.0833,Kissane Ltouqi,2004,Medium
34.6,-5.0833,Kissane Ltouqi,2006,Medium
34.6,-5.0833,Kissane Ltouqi,2015,Medium
34.6,-5.0833,Kissane Ltouqi,2017,Medium
34.6,-5.0833,Kissane Ltouqi,2019,Medium
34.6,-5.0833,Kissane Ltouqi,1983,Low
34.6,-5.0833,Kissane Ltouqi,1985,Low
34.6,-5.0833,Kissane Ltouqi,1987,Low
34.6,-5.0833,Kissane Ltouqi,1988,Low
34.6,-5.0833,Kissane Ltouqi,1989,Low
34.6,-5.0833,Kissane Ltouqi,1992,Low
34.6,-5.0833,Kissane Ltouqi,1993,Low
34.6,-5.0833,Kissane Ltouqi,1994,Low
34.6,-5.0833,Kissane Ltouqi,1995,Low
34.6,-5.0833,Kissane Ltouqi,1999,Low
34.6,-5.0833,Kissane Ltouqi,2000,Low
34.6,-5.0833,Kissane Ltouqi,2002,Low
34.6,-5.0833,Kissane Ltouqi,2005,Low
34.6,-5.0833,Kissane Ltouqi,2007,Low
34.6,-5.0833,Kissane Ltouqi,2008,Low
34.6,-5.0833,Kissane Ltouqi,2012,Low
34.6,-5.0833,Kissane Ltouqi,2014,Low
34.6,-5.0833,Kissane Ltouqi,2016,Low
34.6,-5.0833,Kissane Ltouqi,2020,Low
