lat,lon,city_name,year,cluster
35.7167,-5.8,Laaouama,2010,High
35.7167,-5.8,Laaouama,1990,Medium
35.7167,-5.8,Laaouama,1991,Medium
35.7167,-5.8,Laaouama,1996,Medium
35.7167,-5.8,Laaouama,1997,Medium
35.7167,-5.8,Laaouama,1998,Medium
35.7167,-5.8,Laaouama,2001,Medium
35.7167,-5.8,Laaouama,2003,Medium
35.7167,-5.8,Laaouama,2004,Medium
35.7167,-5.8,Laaouama,2009,Medium
35.7167,-5.8,Laaouama,2011,Medium
35.7167,-5.8,Laaouama,2013,Medium
35.7167,-5.8,Laaouama,2017,Medium
35.7167,-5.8,Laaouama,2018,Medium
35.7167,-5.8,Laaouama,1982,Low
35.7167,-5.8,Laaouama,1983,Low
35.7167,-5.8,Laaouama,1984,Low
35.7167,-5.8,Laaouama,1985,Low
35.7167,-5.8,Laaouama,1986,Low
35.7167,-5.8,Laaouama,1987,Low
35.7167,-5.8,Laaouama,1988,Low
35.7167,-5.8,Laaouama,1989,Low
35.7167,-5.8,Laaouama,1992,Low
35.7167,-5.8,Laaouama,1993,Low
35.7167,-5.8,Laaouama,1994,Low
35.7167,-5.8,Laaouama,1995,Low
35.7167,-5.8,Laaouama,1999,Low
35.7167,-5.8,Laaouama,2000,Low
35.7167,-5.8,Laaouama,2002,Low
35.7167,-5.8,Laaouama,2005,Low
35.7167,-5.8,Laaouama,2006,Low
35.7167,-5.8,Laaouama,2007,Low
35.7167,-5.8,Laaouama,2008,Low
35.7167,-5.8,Laaouama,2012,Low
35.7167,-5.8,Laaouama,2014,Low
35.7167,-5.8,Laaouama,2015,Low
35.7167,-5.8,Laaouama,2016,Low
35.7167,-5.8,Laaouama,2019,Low
35.7167,-5.8,Laaouama,2020,Low
