lat,lon,city_name,year,cluster
33.05,-3.9908,Missour,1991,High
33.05,-3.9908,Missour,1994,High
33.05,-3.9908,Missour,1996,High
33.05,-3.9908,Missour,2004,High
33.05,-3.9908,Missour,2006,High
33.05,-3.9908,Missour,2009,High
33.05,-3.9908,Missour,2010,High
33.05,-3.9908,Missour,2012,High
33.05,-3.9908,Missour,2013,High
33.05,-3.9908,Missour,2015,High
33.05,-3.9908,Missour,2018,High
33.05,-3.9908,Missour,1982,Medium
33.05,-3.9908,Missour,1988,Medium
33.05,-3.9908,Missour,1990,Medium
33.05,-3.9908,Missour,1997,Medium
33.05,-3.9908,Missour,1998,Medium
33.05,-3.9908,Missour,2001,Medium
33.05,-3.9908,Missour,2003,Medium
33.05,-3.9908,Missour,2007,Medium
33.05,-3.9908,Missour,2008,Medium
33.05,-3.9908,Missour,2011,Medium
33.05,-3.9908,Missour,2014,Medium
33.05,-3.9908,Missour,2017,Medium
33.05,-3.9908,Missour,2019,Medium
33.05,-3.9908,Missour,2020,Medium
33.05,-3.9908,Missour,1983,Low
33.05,-3.9908,Missour,1984,Low
33.05,-3.9908,Missour,1985,Low
33.05,-3.9908,Missour,1986,Low
33.05,-3.9908,Missour,1987,Low
33.05,-3.9908,Missour,1989,Low
33.05,-3.9908,Missour,1992,Low
33.05,-3.9908,Missour,1993,Low
33.05,-3.9908,Missour,1995,Low
33.05,-3.9908,Missour,1999,Low
33.05,-3.9908,Missour,2000,Low
33.05,-3.9908,Missour,2002,Low
33.05,-3.9908,Missour,2005,Low
33.05,-3.9908,Missour,2016,Low
