lat,lon,city_name,year,cluster
30.8722,-5.8639,Nkob,1988,High
30.8722,-5.8639,Nkob,1989,High
30.8722,-5.8639,Nkob,1990,High
30.8722,-5.8639,Nkob,1994,High
30.8722,-5.8639,Nkob,1996,High
30.8722,-5.8639,Nkob,2007,High
30.8722,-5.8639,Nkob,2009,High
30.8722,-5.8639,Nkob,2015,High
30.8722,-5.8639,Nkob,1982,Medium
30.8722,-5.8639,Nkob,1985,Medium
30.8722,-5.8639,Nkob,1986,Medium
30.8722,-5.8639,Nkob,1991,Medium
30.8722,-5.8639,Nkob,1992,Medium
30.8722,-5.8639,Nkob,1995,Medium
30.8722,-5.8639,Nkob,1997,Medium
30.8722,-5.8639,Nkob,1998,Medium
30.8722,-5.8639,Nkob,1999,Medium
30.8722,-5.8639,Nkob,2002,Medium
30.8722,-5.8639,Nkob,2004,Medium
30.8722,-5.8639,Nkob,2005,Medium
30.8722,-5.8639,Nkob,2006,Medium
30.8722,-5.8639,Nkob,2008,Medium
30.8722,-5.8639,Nkob,2010,Medium
30.8722,-5.8639,Nkob,2011,Medium
30.8722,-5.8639,Nkob,2012,Medium
30.8722,-5.8639,Nkob,2014,Medium
30.8722,-5.8639,Nkob,2017,Medium
30.8722,-5.8639,Nkob,2018,Medium
30.8722,-5.8639,Nkob,2019,Medium
30.8722,-5.8639,Nkob,2020,Medium
30.8722,-5.8639,Nkob,1983,Low
30.8722,-5.8639,Nkob,1984,Low
30.8722,-5.8639,Nkob,1987,Low
30.8722,-5.8639,Nkob,1993,Low
30.8722,-5.8639,Nkob,2000,Low
30.8722,-5.8639,Nkob,2001,Low
30.8722,-5.8639,Nkob,2003,Low
30.8722,-5.8639,Nkob,2013,Low
30.8722,-5.8639,Nkob,2016,Low
