lat,lon,city_name,year,cluster
34.7167,-2.5833,Oulad Khallouf,2004,High
34.7167,-2.5833,Oulad Khallouf,2009,High
34.7167,-2.5833,Oulad Khallouf,2013,High
34.7167,-2.5833,Oulad Khallouf,1982,Medium
34.7167,-2.5833,Oulad Khallouf,1986,Medium
34.7167,-2.5833,Oulad Khallouf,1987,Medium
34.7167,-2.5833,Oulad Khallouf,1990,Medium
34.7167,-2.5833,Oulad Khallouf,1991,Medium
34.7167,-2.5833,Oulad Khallouf,1994,Medium
34.7167,-2.5833,Oulad Khallouf,1996,Medium
34.7167,-2.5833,Oulad Khallouf,2001,Medium
34.7167,-2.5833,Oulad Khallouf,2002,Medium
34.7167,-2.5833,Oulad Khallouf,2003,Medium
34.7167,-2.5833,Oulad Khallouf,2005,Medium
34.7167,-2.5833,Oulad Khallouf,2006,Medium
34.7167,-2.5833,Oulad Khallouf,2008,Medium
34.7167,-2.5833,Oulad Khallouf,2010,Medium
34.7167,-2.5833,Oulad Khallouf,2011,Medium
34.7167,-2.5833,Oulad Khallouf,2012,Medium
34.7167,-2.5833,Oulad Khallouf,2015,Medium
34.7167,-2.5833,Oulad Khallouf,2017,Medium
34.7167,-2.5833,Oulad Khallouf,2018,Medium
34.7167,-2.5833,Oulad Khallouf,2019,Medium
34.7167,-2.5833,Oulad Khallouf,2020,Medium
34.7167,-2.5833,Oulad Khallouf,1983,Low
34.7167,-2.5833,Oulad Khallouf,1984,Low
34.7167,-2.5833,Oulad Khallouf,1985,Low
34.7167,-2.5833,Oulad Khallouf,1988,Low
34.7167,-2.5833,Oulad Khallouf,1989,Low
34.7167,-2.5833,Oulad Khallouf,1992,Low
34.7167,-2.5833,Oulad Khallouf,1993,Low
34.7167,-2.5833,Oulad Khallouf,1995,Low
34.7167,-2.5833,Oulad Khallouf,1997,Low
34.7167,-2.5833,Oulad Khallouf,1998,Low
34.7167,-2.5833,Oulad Khallouf,1999,Low
34.7167,-2.5833,Oulad Khallouf,2000,Low
34.7167,-2.5833,Oulad Khallouf,2007,Low
34.7167,-2.5833,Oulad Khallouf,2014,Low
34.7167,-2.5833,Oulad Khallouf,2016,Low
