lat,lon,city_name,year,cluster
33.7833,-5.7167,Ras Ijerri,1996,High
33.7833,-5.7167,Ras Ijerri,2009,High
33.7833,-5.7167,Ras Ijerri,2010,High
33.7833,-5.7167,Ras Ijerri,2011,High
33.7833,-5.7167,Ras Ijerri,2013,High
33.7833,-5.7167,Ras Ijerri,2018,High
33.7833,-5.7167,Ras Ijerri,1982,Medium
33.7833,-5.7167,Ras Ijerri,1983,Medium
33.7833,-5.7167,Ras Ijerri,1987,Medium
33.7833,-5.7167,Ras Ijerri,1988,Medium
33.7833,-5.7167,Ras Ijerri,1990,Medium
33.7833,-5.7167,Ras Ijerri,1991,Medium
33.7833,-5.7167,Ras Ijerri,1994,Medium
33.7833,-5.7167,Ras Ijerri,1997,Medium
33.7833,-5.7167,Ras Ijerri,1998,Medium
33.7833,-5.7167,Ras Ijerri,2001,Medium
33.7833,-5.7167,Ras Ijerri,2003,Medium
33.7833,-5.7167,Ras Ijerri,2004,Medium
33.7833,-5.7167,Ras Ijerri,2006,Medium
33.7833,-5.7167,Ras Ijerri,2012,Medium
33.7833,-5.7167,Ras Ijerri,2014,Medium
33.7833,-5.7167,Ras Ijerri,2015,Medium
33.7833,-5.7167,Ras Ijerri,2017,Medium
33.7833,-5.7167,Ras Ijerri,2019,Medium
33.7833,-5.7167,Ras Ijerri,1984,Low
33.7833,-5.7167,Ras Ijerri,1985,Low
33.7833,-5.7167,Ras Ijerri,1986,Low
33.7833,-5.7167,Ras Ijerri,1989,Low
33.7833,-5.7167,Ras Ijerri,1992,Low
33.7833,-5.7167,Ras Ijerri,1993,Low
33.7833,-5.7167,Ras Ijerri,1995,Low
33.7833,-5.7167,Ras Ijerri,1999,Low
33.7833,-5.7167,Ras Ijerri,2000,Low
33.7833,-5.7167,Ras Ijerri,2002,Low
33.7833,-5.7167,Ras Ijerri,2005,Low
33.7833,-5.7167,Ras Ijerri,2007,Low
33.7833,-5.7167,Ras Ijerri,2008,Low
33.7833,-5.7167,Ras Ijerri,2016,Low
33.7833,-5.7167,Ras Ijerri,2020,Low
