lat,lon,city_name,year,cluster
33.8184,-4.4106,Ribat Al Khayr,2009,High
33.8184,-4.4106,Ribat Al Khayr,2010,High
33.8184,-4.4106,Ribat Al Khayr,2013,High
33.8184,-4.4106,Ribat Al Khayr,1982,Medium
33.8184,-4.4106,Ribat Al Khayr,1983,Medium
33.8184,-4.4106,Ribat Al Khayr,1986,Medium
33.8184,-4.4106,Ribat Al Khayr,1987,Medium
33.8184,-4.4106,Ribat Al Khayr,1988,Medium
33.8184,-4.4106,Ribat Al Khayr,1990,Medium
33.8184,-4.4106,Ribat Al Khayr,1991,Medium
33.8184,-4.4106,Ribat Al Khayr,1994,Medium
33.8184,-4.4106,Ribat Al Khayr,1996,Medium
33.8184,-4.4106,Ribat Al Khayr,1997,Medium
33.8184,-4.4106,Ribat Al Khayr,1998,Medium
33.8184,-4.4106,Ribat Al Khayr,2001,Medium
33.8184,-4.4106,Ribat Al Khayr,2003,Medium
33.8184,-4.4106,Ribat Al Khayr,2004,Medium
33.8184,-4.4106,Ribat Al Khayr,2005,Medium
33.8184,-4.4106,Ribat Al Khayr,2006,Medium
33.8184,-4.4106,Ribat Al Khayr,2008,Medium
33.8184,-4.4106,Ribat Al Khayr,2011,Medium
33.8184,-4.4106,Ribat Al Khayr,2012,Medium
33.8184,-4.4106,Ribat Al Khayr,2014,Medium
33.8184,-4.4106,Ribat Al Khayr,2015,Medium
33.8184,-4.4106,Ribat Al Khayr,2017,Medium
33.8184,-4.4106,Ribat Al Khayr,2018,Medium
33.8184,-4.4106,Ribat Al Khayr,2019,Medium
33.8184,-4.4106,Ribat Al Khayr,2020,Medium
33.8184,-4.4106,Ribat Al Khayr,1984,Low
33.8184,-4.4106,Ribat Al Khayr,1985,Low
33.8184,-4.4106,Ribat Al Khayr,1989,Low
33.8184,-4.4106,Ribat Al Khayr,1992,Low
33.8184,-4.4106,Ribat Al Khayr,1993,Low
33.8184,-4.4106,Ribat Al Khayr,1995,Low
33.8184,-4.4106,Ribat Al Khayr,1999,Low
33.8184,-4.4106,Ribat Al Khayr,2000,Low
33.8184,-4.4106,Ribat Al Khayr,2002,Low
33.8184,-4.4106,Ribat Al Khayr,2007,Low
33.8184,-4.4106,Ribat Al Khayr,2016,Low
