lat,lon,city_name,year,cluster
33.83,-4.83,Sefrou,1996,High
33.83,-4.83,Sefrou,2009,High
33.83,-4.83,Sefrou,2010,High
33.83,-4.83,Sefrou,2011,High
33.83,-4.83,Sefrou,2013,High
33.83,-4.83,Sefrou,2018,High
33.83,-4.83,Sefrou,1982,Medium
33.83,-4.83,Sefrou,1983,Medium
33.83,-4.83,Sefrou,1986,Medium
33.83,-4.83,Sefrou,1987,Medium
33.83,-4.83,Sefrou,1988,Medium
33.83,-4.83,Sefrou,1990,Medium
33.83,-4.83,Sefrou,1991,Medium
33.83,-4.83,Sefrou,1994,Medium
33.83,-4.83,Sefrou,1997,Medium
33.83,-4.83,Sefrou,1998,Medium
33.83,-4.83,Sefrou,2001,Medium
33.83,-4.83,Sefrou,2003,Medium
33.83,-4.83,Sefrou,2004,Medium
33.83,-4.83,Sefrou,2005,Medium
33.83,-4.83,Sefrou,2006,Medium
33.83,-4.83,Sefrou,2008,Medium
33.83,-4.83,Sefrou,2012,Medium
33.83,-4.83,Sefrou,2014,Medium
33.83,-4.83,Sefrou,2015,Medium
33.83,-4.83,Sefrou,2017,Medium
33.83,-4.83,Sefrou,2019,Medium
33.83,-4.83,Sefrou,2020,Medium
33.83,-4.83,Sefrou,1984,Low
33.83,-4.83,Sefrou,1985,Low
33.83,-4.83,Sefrou,1989,Low
33.83,-4.83,Sefrou,1992,Low
33.83,-4.83,Sefrou,1993,Low
33.83,-4.83,Sefrou,1995,Low
33.83,-4.83,Sefrou,1999,Low
33.83,-4.83,Sefrou,2000,Low
33.83,-4.83,Sefrou,2002,Low
33.83,-4.83,Sefrou,2007,Low
33.83,-4.83,Sefrou,2016,Low
