lat,lon,city_name,year,cluster
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2009,High
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2010,High
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2011,High
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2013,High
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1982,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1983,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1984,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1986,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1987,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1988,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1989,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1990,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1991,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1994,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1996,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1997,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1998,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2001,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2003,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2004,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2006,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2007,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2008,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2012,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2014,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2015,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2017,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2018,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2019,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2020,Medium
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1985,Low
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1992,Low
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1993,Low
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1995,Low
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,1999,Low
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2000,Low
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2002,Low
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2005,Low
34.0019,-5.3694,Sidi Abdellah Ben Taazizt,2016,Low
