lat,lon,city_name,year,cluster
32.1594,-8.8267,Sidi Ettiji,1997,High
32.1594,-8.8267,Sidi Ettiji,2009,High
32.1594,-8.8267,Sidi Ettiji,2015,High
32.1594,-8.8267,Sidi Ettiji,1982,Medium
32.1594,-8.8267,Sidi Ettiji,1985,Medium
32.1594,-8.8267,Sidi Ettiji,1987,Medium
32.1594,-8.8267,Sidi Ettiji,1988,Medium
32.1594,-8.8267,Sidi Ettiji,1989,Medium
32.1594,-8.8267,Sidi Ettiji,1990,Medium
32.1594,-8.8267,Sidi Ettiji,1991,Medium
32.1594,-8.8267,Sidi Ettiji,1994,Medium
32.1594,-8.8267,Sidi Ettiji,1996,Medium
32.1594,-8.8267,Sidi Ettiji,2003,Medium
32.1594,-8.8267,Sidi Ettiji,2004,Medium
32.1594,-8.8267,Sidi Ettiji,2006,Medium
32.1594,-8.8267,Sidi Ettiji,2010,Medium
32.1594,-8.8267,Sidi Ettiji,2011,Medium
32.1594,-8.8267,Sidi Ettiji,2013,Medium
32.1594,-8.8267,Sidi Ettiji,2017,Medium
32.1594,-8.8267,Sidi Ettiji,2018,Medium
32.1594,-8.8267,Sidi Ettiji,2019,Medium
32.1594,-8.8267,Sidi Ettiji,1983,Low
32.1594,-8.8267,Sidi Ettiji,1984,Low
32.1594,-8.8267,Sidi Ettiji,1986,Low
32.1594,-8.8267,Sidi Ettiji,1992,Low
32.1594,-8.8267,Sidi Ettiji,1993,Low
32.1594,-8.8267,Sidi Ettiji,1995,Low
32.1594,-8.8267,Sidi Ettiji,1998,Low
32.1594,-8.8267,Sidi Ettiji,1999,Low
32.1594,-8.8267,Sidi Ettiji,2000,Low
32.1594,-8.8267,Sidi Ettiji,2001,Low
32.1594,-8.8267,Sidi Ettiji,2002,Low
32.1594,-8.8267,Sidi Ettiji,2005,Low
32.1594,-8.8267,Sidi Ettiji,2007,Low
32.1594,-8.8267,Sidi Ettiji,2008,Low
32.1594,-8.8267,Sidi Ettiji,2012,Low
32.1594,-8.8267,Sidi Ettiji,2014,Low
32.1594,-8.8267,Sidi Ettiji,2016,Low
32.1594,-8.8267,Sidi Ettiji,2020,Low
