lat,lon,city_name,year,cluster
29.3833,-10.1667,Sidi Ifni,1982,High
29.3833,-10.1667,Sidi Ifni,1985,High
29.3833,-10.1667,Sidi Ifni,1988,High
29.3833,-10.1667,Sidi Ifni,1989,High
29.3833,-10.1667,Sidi Ifni,1990,High
29.3833,-10.1667,Sidi Ifni,1991,High
29.3833,-10.1667,Sidi Ifni,1996,High
29.3833,-10.1667,Sidi Ifni,1997,High
29.3833,-10.1667,Sidi Ifni,2009,High
29.3833,-10.1667,Sidi Ifni,2010,High
29.3833,-10.1667,Sidi Ifni,2011,High
29.3833,-10.1667,Sidi Ifni,2015,High
29.3833,-10.1667,Sidi Ifni,1986,Medium
29.3833,-10.1667,Sidi Ifni,1987,Medium
29.3833,-10.1667,Sidi Ifni,1994,Medium
29.3833,-10.1667,Sidi Ifni,1995,Medium
29.3833,-10.1667,Sidi Ifni,1998,Medium
29.3833,-10.1667,Sidi Ifni,2002,Medium
29.3833,-10.1667,Sidi Ifni,2003,Medium
29.3833,-10.1667,Sidi Ifni,2004,Medium
29.3833,-10.1667,Sidi Ifni,2005,Medium
29.3833,-10.1667,Sidi Ifni,2006,Medium
29.3833,-10.1667,Sidi Ifni,2013,Medium
29.3833,-10.1667,Sidi Ifni,2014,Medium
29.3833,-10.1667,Sidi Ifni,2017,Medium
29.3833,-10.1667,Sidi Ifni,2018,Medium
29.3833,-10.1667,Sidi Ifni,2019,Medium
29.3833,-10.1667,Sidi Ifni,1983,Low
29.3833,-10.1667,Sidi Ifni,1984,Low
29.3833,-10.1667,Sidi Ifni,1992,Low
29.3833,-10.1667,Sidi Ifni,1993,Low
29.3833,-10.1667,Sidi Ifni,1999,Low
29.3833,-10.1667,Sidi Ifni,2000,Low
29.3833,-10.1667,Sidi Ifni,2001,Low
29.3833,-10.1667,Sidi Ifni,2007,Low
29.3833,-10.1667,Sidi Ifni,2008,Low
29.3833,-10.1667,Sidi Ifni,2012,Low
29.3833,-10.1667,Sidi Ifni,2016,Low
29.3833,-10.1667,Sidi Ifni,2020,Low
