lat,lon,city_name,year,cluster
32.9,-6.05,Sidi Lamine,1982,High
32.9,-6.05,Sidi Lamine,1987,High
32.9,-6.05,Sidi Lamine,1991,High
32.9,-6.05,Sidi Lamine,1996,High
32.9,-6.05,Sidi Lamine,1997,High
32.9,-6.05,Sidi Lamine,2006,High
32.9,-6.05,Sidi Lamine,2009,High
32.9,-6.05,Sidi Lamine,2010,High
32.9,-6.05,Sidi Lamine,2011,High
32.9,-6.05,Sidi Lamine,2013,High
32.9,-6.05,Sidi Lamine,2018,High
32.9,-6.05,Sidi Lamine,1983,Medium
32.9,-6.05,Sidi Lamine,1988,Medium
32.9,-6.05,Sidi Lamine,1989,Medium
32.9,-6.05,Sidi Lamine,1990,Medium
32.9,-6.05,Sidi Lamine,1994,Medium
32.9,-6.05,Sidi Lamine,1998,Medium
32.9,-6.05,Sidi Lamine,2001,Medium
32.9,-6.05,Sidi Lamine,2003,Medium
32.9,-6.05,Sidi Lamine,2004,Medium
32.9,-6.05,Sidi Lamine,2005,Medium
32.9,-6.05,Sidi Lamine,2008,Medium
32.9,-6.05,Sidi Lamine,2012,Medium
32.9,-6.05,Sidi Lamine,2014,Medium
32.9,-6.05,Sidi Lamine,2015,Medium
32.9,-6.05,Sidi Lamine,2017,Medium
32.9,-6.05,Sidi Lamine,2019,Medium
32.9,-6.05,Sidi Lamine,1984,Low
32.9,-6.05,Sidi Lamine,1985,Low
32.9,-6.05,Sidi Lamine,1986,Low
32.9,-6.05,Sidi Lamine,1992,Low
32.9,-6.05,Sidi Lamine,1993,Low
32.9,-6.05,Sidi Lamine,1995,Low
32.9,-6.05,Sidi Lamine,1999,Low
32.9,-6.05,Sidi Lamine,2000,Low
32.9,-6.05,Sidi Lamine,2002,Low
32.9,-6.05,Sidi Lamine,2007,Low
32.9,-6.05,Sidi Lamine,2016,Low
32.9,-6.05,Sidi Lamine,2020,Low
