lat,lon,city_name,year,cluster
33.85,-7.03,Skhirate,1996,High
33.85,-7.03,Skhirate,1997,High
33.85,-7.03,Skhirate,2009,High
33.85,-7.03,Skhirate,2010,High
33.85,-7.03,Skhirate,2011,High
33.85,-7.03,Skhirate,2018,High
33.85,-7.03,Skhirate,1982,Medium
33.85,-7.03,Skhirate,1987,Medium
33.85,-7.03,Skhirate,1988,Medium
33.85,-7.03,Skhirate,1990,Medium
33.85,-7.03,Skhirate,1991,Medium
33.85,-7.03,Skhirate,1994,Medium
33.85,-7.03,Skhirate,1998,Medium
33.85,-7.03,Skhirate,2001,Medium
33.85,-7.03,Skhirate,2003,Medium
33.85,-7.03,Skhirate,2004,Medium
33.85,-7.03,Skhirate,2006,Medium
33.85,-7.03,Skhirate,2012,Medium
33.85,-7.03,Skhirate,2013,Medium
33.85,-7.03,Skhirate,2015,Medium
33.85,-7.03,Skhirate,2017,Medium
33.85,-7.03,Skhirate,2019,Medium
33.85,-7.03,Skhirate,1983,Low
33.85,-7.03,Skhirate,1984,Low
33.85,-7.03,Skhirate,1985,Low
33.85,-7.03,Skhirate,1986,Low
33.85,-7.03,Skhirate,1989,Low
33.85,-7.03,Skhirate,1992,Low
33.85,-7.03,Skhirate,1993,Low
33.85,-7.03,Skhirate,1995,Low
33.85,-7.03,Skhirate,1999,Low
33.85,-7.03,Skhirate,2000,Low
33.85,-7.03,Skhirate,2002,Low
33.85,-7.03,Skhirate,2005,Low
33.85,-7.03,Skhirate,2007,Low
33.85,-7.03,Skhirate,2008,Low
33.85,-7.03,Skhirate,2014,Low
33.85,-7.03,Skhirate,2016,Low
33.85,-7.03,Skhirate,2020,Low
