lat,lon,city_name,year,cluster
35.1091,-5.4577,Tanakoub,1990,High
35.1091,-5.4577,Tanakoub,1996,High
35.1091,-5.4577,Tanakoub,1997,High
35.1091,-5.4577,Tanakoub,1998,High
35.1091,-5.4577,Tanakoub,2001,High
35.1091,-5.4577,Tanakoub,2003,High
35.1091,-5.4577,Tanakoub,2004,High
35.1091,-5.4577,Tanakoub,2009,High
35.1091,-5.4577,Tanakoub,2010,High
35.1091,-5.4577,Tanakoub,2011,High
35.1091,-5.4577,Tanakoub,2013,High
35.1091,-5.4577,Tanakoub,2018,High
35.1091,-5.4577,Tanakoub,1982,Medium
35.1091,-5.4577,Tanakoub,1984,Medium
35.1091,-5.4577,Tanakoub,1986,Medium
35.1091,-5.4577,Tanakoub,1989,Medium
35.1091,-5.4577,Tanakoub,1991,Medium
35.1091,-5.4577,Tanakoub,1994,Medium
35.1091,-5.4577,Tanakoub,2002,Medium
35.1091,-5.4577,Tanakoub,2006,Medium
35.1091,-5.4577,Tanakoub,2015,Medium
35.1091,-5.4577,Tanakoub,2017,Medium
35.1091,-5.4577,Tanakoub,2019,Medium
35.1091,-5.4577,Tanakoub,2020,Medium
35.1091,-5.4577,Tanakoub,1983,Low
35.1091,-5.4577,Tanakoub,1985,Low
35.1091,-5.4577,Tanakoub,1987,Low
35.1091,-5.4577,Tanakoub,1988,Low
35.1091,-5.4577,Tanakoub,1992,Low
35.1091,-5.4577,Tanakoub,1993,Low
35.1091,-5.4577,Tanakoub,1995,Low
35.1091,-5.4577,Tanakoub,1999,Low
35.1091,-5.4577,Tanakoub,2000,Low
35.1091,-5.4577,Tanakoub,2005,Low
35.1091,-5.4577,Tanakoub,2007,Low
35.1091,-5.4577,Tanakoub,2008,Low
35.1091,-5.4577,Tanakoub,2012,Low
35.1091,-5.4577,Tanakoub,2014,Low
35.1091,-5.4577,Tanakoub,2016,Low
