lat,lon,city_name,year,cluster
34.9833,-3.15,Tiztoutine,2004,High
34.9833,-3.15,Tiztoutine,2009,High
34.9833,-3.15,Tiztoutine,2010,High
34.9833,-3.15,Tiztoutine,2013,High
34.9833,-3.15,Tiztoutine,2018,High
34.9833,-3.15,Tiztoutine,1982,Medium
34.9833,-3.15,Tiztoutine,1984,Medium
34.9833,-3.15,Tiztoutine,1986,Medium
34.9833,-3.15,Tiztoutine,1987,Medium
34.9833,-3.15,Tiztoutine,1990,Medium
34.9833,-3.15,Tiztoutine,1991,Medium
34.9833,-3.15,Tiztoutine,1994,Medium
34.9833,-3.15,Tiztoutine,1996,Medium
34.9833,-3.15,Tiztoutine,1997,Medium
34.9833,-3.15,Tiztoutine,1998,Medium
34.9833,-3.15,Tiztoutine,2001,Medium
34.9833,-3.15,Tiztoutine,2002,Medium
34.9833,-3.15,Tiztoutine,2003,Medium
34.9833,-3.15,Tiztoutine,2005,Medium
34.9833,-3.15,Tiztoutine,2006,Medium
34.9833,-3.15,Tiztoutine,2007,Medium
34.9833,-3.15,Tiztoutine,2008,Medium
34.9833,-3.15,Tiztoutine,2011,Medium
34.9833,-3.15,Tiztoutine,2012,Medium
34.9833,-3.15,Tiztoutine,2015,Medium
34.9833,-3.15,Tiztoutine,2017,Medium
34.9833,-3.15,Tiztoutine,2019,Medium
34.9833,-3.15,Tiztoutine,2020,Medium
34.9833,-3.15,Tiztoutine,1983,Low
34.9833,-3.15,Tiztoutine,1985,Low
34.9833,-3.15,Tiztoutine,1988,Low
34.9833,-3.15,Tiztoutine,1989,Low
34.9833,-3.15,Tiztoutine,1992,Low
34.9833,-3.15,Tiztoutine,1993,Low
34.9833,-3.15,Tiztoutine,1995,Low
34.9833,-3.15,Tiztoutine,1999,Low
34.9833,-3.15,Tiztoutine,2000,Low
34.9833,-3.15,Tiztoutine,2014,Low
34.9833,-3.15,Tiztoutine,2016,Low
