lat,lon,city_name,year,cluster
30.2167,-8.3833,Wislane,1988,High
30.2167,-8.3833,Wislane,1989,High
30.2167,-8.3833,Wislane,1996,High
30.2167,-8.3833,Wislane,2010,High
30.2167,-8.3833,Wislane,2011,High
30.2167,-8.3833,Wislane,2015,High
30.2167,-8.3833,Wislane,1982,Medium
30.2167,-8.3833,Wislane,1985,Medium
30.2167,-8.3833,Wislane,1987,Medium
30.2167,-8.3833,Wislane,1990,Medium
30.2167,-8.3833,Wislane,1991,Medium
30.2167,-8.3833,Wislane,1994,Medium
30.2167,-8.3833,Wislane,1997,Medium
30.2167,-8.3833,Wislane,1998,Medium
30.2167,-8.3833,Wislane,2002,Medium
30.2167,-8.3833,Wislane,2003,Medium
30.2167,-8.3833,Wislane,2006,Medium
30.2167,-8.3833,Wislane,2009,Medium
30.2167,-8.3833,Wislane,2013,Medium
30.2167,-8.3833,Wislane,2017,Medium
30.2167,-8.3833,Wislane,1983,Low
30.2167,-8.3833,Wislane,1984,Low
30.2167,-8.3833,Wislane,1986,Low
30.2167,-8.3833,Wislane,1992,Low
30.2167,-8.3833,Wislane,1993,Low
30.2167,-8.3833,Wislane,1995,Low
30.2167,-8.3833,Wislane,1999,Low
30.2167,-8.3833,Wislane,2000,Low
30.2167,-8.3833,Wislane,2001,Low
30.2167,-8.3833,Wislane,2004,Low
30.2167,-8.3833,Wislane,2005,Low
30.2167,-8.3833,Wislane,2007,Low
30.2167,-8.3833,Wislane,2008,Low
30.2167,-8.3833,Wislane,2012,Low
30.2167,-8.3833,Wislane,2014,Low
30.2167,-8.3833,Wislane,2016,Low
30.2167,-8.3833,Wislane,2018,Low
30.2167,-8.3833,Wislane,2019,Low
30.2167,-8.3833,Wislane,2020,Low
