,DATE,ALLSKY_SFC_SW_DWN,PRECTOT,RH2M,T2M,T2MDEW,T2M_MAX,T2M_MIN,WS2M
0,1981-01-01,-99.0,0.02,42.71,5.72,-5.94,13.83,0.92,1.03
1,1981-01-02,-99.0,0.0,34.98,6.45,-7.93,14.72,2.22,1.24
2,1981-01-03,-99.0,0.0,33.87,6.92,-7.82,15.0,2.76,1.11
3,1981-01-04,-99.0,0.0,36.35,6.76,-7.09,14.72,2.74,1.05
4,1981-01-05,-99.0,0.0,32.54,7.99,-7.48,16.17,3.91,1.04
5,1981-01-06,-99.0,0.0,29.28,8.91,-8.1,16.81,4.49,0.95
6,1981-01-07,-99.0,0.0,30.4,8.03,-8.36,15.89,3.34,0.99
7,1981-01-08,-99.0,0.0,27.43,9.27,-8.76,18.69,3.98,1.07
8,1981-01-09,-99.0,0.0,34.66,8.16,-6.72,15.74,3.68,1.25
9,1981-01-10,-99.0,0.0,47.19,6.78,-3.82,13.42,3.3,1.19
10,1981-01-11,-99.0,9.39,89.12,2.56,0.7,5.17,-1.5,2.07
11,1981-01-12,-99.0,6.11,83.61,-1.35,-4.0,2.49,-4.85,1.8
12,1981-01-13,-99.0,14.11,88.4,-1.05,-2.94,2.65,-4.25,2.01
13,1981-01-14,-99.0,0.94,67.08,-2.05,-7.72,2.42,-6.29,1.18
14,1981-01-15,-99.0,0.0,44.75,1.69,-9.38,9.82,-4.34,0.9
15,1981-01-16,-99.0,0.0,52.83,6.31,-3.7,14.2,1.64,1.05
16,1981-01-17,-99.0,0.0,60.13,6.53,-1.03,13.16,3.16,1.12
17,1981-01-18,-99.0,0.0,49.03,8.04,-2.43,16.12,4.0,1.02
18,1981-01-19,-99.0,0.0,40.76,8.9,-3.94,17.71,3.99,0.9
19,1981-01-20,-99.0,0.0,38.56,8.72,-4.79,17.45,3.4,1.07
20,1981-01-21,-99.0,0.0,39.65,9.36,-4.29,17.73,3.69,1.13
21,1981-01-22,-99.0,0.0,38.6,10.69,-3.27,18.76,5.96,1.21
22,1981-01-23,-99.0,0.0,47.88,9.21,-1.7,15.27,5.48,0.95
23,1981-01-24,-99.0,0.0,47.11,9.49,-1.48,16.86,4.1,1.17
24,1981-01-25,-99.0,0.0,54.09,10.04,1.04,17.89,3.51,1.29
25,1981-01-26,-99.0,0.18,63.87,10.08,3.42,16.62,6.0,0.82
26,1981-01-27,-99.0,0.03,60.39,10.62,3.16,18.49,5.52,0.98
27,1981-01-28,-99.0,0.01,56.01,11.03,2.5,19.78,4.92,1.16
28,1981-01-29,-99.0,0.0,49.7,11.26,0.96,17.96,6.95,0.87
29,1981-01-30,-99.0,1.21,62.25,9.97,2.84,17.23,5.85,0.74
30,1981-01-31,-99.0,2.06,78.21,7.3,3.57,11.52,4.49,1.35
31,1981-02-01,-99.0,2.43,70.33,6.78,1.52,12.45,2.7,1.56
32,1981-02-02,-99.0,0.2,51.25,5.32,-4.7,12.71,-0.3,1.08
33,1981-02-03,-99.0,0.0,38.31,4.28,-8.52,12.89,-2.44,1.28
34,1981-02-04,-99.0,0.0,34.73,5.29,-8.84,12.87,0.31,1.09
35,1981-02-05,-99.0,0.0,47.65,6.42,-4.66,14.16,0.99,0.97
36,1981-02-06,-99.0,0.0,34.88,9.48,-5.73,18.74,3.33,1.15
37,1981-02-07,-99.0,0.01,51.99,8.57,-1.09,17.23,2.33,0.94
38,1981-02-08,-99.0,0.01,53.4,10.63,1.24,18.84,4.59,1.13
39,1981-02-09,-99.0,0.07,54.84,10.03,1.04,16.22,5.79,1.39
40,1981-02-10,-99.0,12.12,80.82,6.8,3.64,10.39,3.97,1.23
41,1981-02-11,-99.0,1.52,72.67,7.01,2.31,13.09,3.06,0.89
42,1981-02-12,-99.0,17.48,77.32,4.93,1.05,9.99,0.63,1.24
43,1981-02-13,-99.0,3.31,65.03,2.64,-3.48,9.94,-1.95,1.18
44,1981-02-14,-99.0,0.86,63.2,5.29,-1.31,11.96,-0.93,3.08
45,1981-02-15,-99.0,3.44,62.72,6.45,-0.26,11.7,2.35,2.84
46,1981-02-16,-99.0,9.46,82.5,3.7,0.79,6.79,1.63,1.4
47,1981-02-17,-99.0,2.06,79.22,5.14,1.67,11.07,1.71,1.01
48,1981-02-18,-99.0,0.04,62.17,5.04,-1.82,12.39,-0.48,1.08
49,1981-02-19,-99.0,0.46,55.97,4.61,-3.95,11.99,0.14,1.37
50,1981-02-20,-99.0,4.31,86.35,2.53,0.29,5.58,0.03,2.24
51,1981-02-21,-99.0,1.29,72.78,2.61,-2.03,8.8,-1.12,1.56
52,1981-02-22,-99.0,0.0,35.87,7.11,-7.46,16.2,-0.24,0.98
53,1981-02-23,-99.0,0.0,44.38,8.56,-3.08,15.37,3.81,0.95
54,1981-02-24,-99.0,0.01,40.58,9.89,-3.01,16.98,4.48,1.22
55,1981-02-25,-99.0,0.0,41.37,10.51,-2.16,18.08,3.65,1.11
56,1981-02-26,-99.0,0.01,43.59,10.99,-1.08,18.59,4.8,1.55
57,1981-02-27,-99.0,0.14,43.89,12.61,0.45,21.54,7.05,1.84
58,1981-02-28,-99.0,0.13,46.13,11.98,0.49,18.49,7.96,1.63
59,1981-03-01,-99.0,0.63,58.78,11.85,3.49,19.06,7.54,1.38
60,1981-03-02,-99.0,0.0,68.66,11.0,5.31,19.45,6.44,1.2
61,1981-03-03,-99.0,0.0,53.34,12.23,2.86,20.66,7.18,1.07
62,1981-03-04,-99.0,0.0,58.73,9.87,2.04,16.8,5.35,1.14
63,1981-03-05,-99.0,0.0,53.41,9.93,0.76,18.65,3.07,1.26
64,1981-03-06,-99.0,0.0,38.16,13.65,-0.6,23.34,6.14,1.45
65,1981-03-07,-99.0,0.0,32.12,16.85,-0.27,25.95,9.99,1.24
66,1981-03-08,-99.0,0.0,40.54,16.24,2.57,25.03,8.89,1.09
67,1981-03-09,-99.0,0.0,39.82,17.26,3.21,25.96,11.71,1.31
68,1981-03-10,-99.0,0.0,38.19,18.6,3.82,28.12,11.75,1.44
69,1981-03-11,-99.0,0.0,40.02,19.0,4.88,27.3,12.61,1.19
70,1981-03-12,-99.0,0.0,41.59,18.49,5.02,26.69,12.64,1.17
71,1981-03-13,-99.0,0.0,47.26,15.54,4.08,22.08,10.77,0.83
72,1981-03-14,-99.0,0.03,57.48,12.45,4.09,19.43,7.09,2.01
73,1981-03-15,-99.0,0.09,57.03,9.99,1.27,15.99,4.63,1.28
74,1981-03-16,-99.0,0.48,63.86,8.87,2.11,15.04,4.86,1.83
75,1981-03-17,-99.0,2.11,71.53,7.02,2.02,12.47,3.38,1.9
76,1981-03-18,-99.0,0.01,38.67,10.49,-3.69,20.01,1.67,0.92
77,1981-03-19,-99.0,6.27,70.21,8.06,2.71,11.55,5.79,1.88
78,1981-03-20,-99.0,4.45,72.56,7.73,2.86,13.71,4.25,1.66
79,1981-03-21,-99.0,0.14,52.7,9.82,0.05,19.07,3.54,1.24
80,1981-03-22,-99.0,0.0,37.86,11.68,-2.57,20.9,4.19,1.28
81,1981-03-23,-99.0,0.0,35.08,14.0,-1.66,23.18,6.6,1.28
82,1981-03-24,-99.0,0.0,33.85,16.68,0.44,25.35,9.45,1.27
83,1981-03-25,-99.0,0.0,34.91,16.77,0.91,25.63,10.22,1.29
84,1981-03-26,-99.0,0.0,34.44,15.71,-0.19,23.24,9.7,1.36
85,1981-03-27,-99.0,0.0,36.34,15.45,0.26,24.6,8.43,1.61
86,1981-03-28,-99.0,0.32,46.18,13.19,1.66,21.9,6.94,2.16
87,1981-03-29,-99.0,7.49,77.23,8.26,4.25,12.45,4.07,3.64
88,1981-03-30,-99.0,15.53,84.82,4.44,1.92,7.35,2.94,3.72
89,1981-03-31,-99.0,8.57,71.84,7.11,2.01,14.25,3.36,1.86
90,1981-04-01,-99.0,0.0,34.74,10.82,-4.78,19.86,2.97,1.62
91,1981-04-02,-99.0,2.32,76.02,6.91,2.72,13.25,1.42,2.52
92,1981-04-03,-99.0,0.87,66.83,9.02,2.97,16.26,3.62,1.61
93,1981-04-04,-99.0,0.0,41.82,13.88,0.83,23.35,4.96,1.08
94,1981-04-05,-99.0,0.25,45.96,14.58,2.7,23.47,8.48,1.39
95,1981-04-06,-99.0,0.23,57.58,12.66,4.05,21.12,6.7,1.27
96,1981-04-07,-99.0,0.0,46.16,13.51,1.42,21.05,7.6,0.93
97,1981-04-08,-99.0,0.08,48.67,16.09,4.83,22.9,10.03,1.28
98,1981-04-09,-99.0,0.18,40.99,16.27,2.48,22.76,11.54,2.96
99,1981-04-10,-99.0,0.02,48.78,14.72,3.7,22.44,7.9,2.06
100,1981-04-11,-99.0,0.03,53.8,13.52,4.02,22.24,7.1,1.29
101,1981-04-12,-99.0,0.1,61.7,12.57,5.21,20.22,6.62,1.52
102,1981-04-13,-99.0,0.35,58.49,12.98,4.85,20.56,5.96,1.46
103,1981-04-14,-99.0,1.55,61.08,13.2,5.67,19.21,8.1,0.83
104,1981-04-15,-99.0,2.19,77.57,11.39,7.5,15.89,7.22,2.0
105,1981-04-16,-99.0,0.06,60.31,10.03,2.29,16.93,4.81,2.1
106,1981-04-17,-99.0,0.01,59.34,8.81,1.07,15.58,2.27,1.56
107,1981-04-18,-99.0,0.0,44.41,12.61,0.59,21.3,5.32,1.35
108,1981-04-19,-99.0,0.01,47.44,13.05,1.87,21.44,6.39,1.68
109,1981-04-20,-99.0,0.13,62.33,11.18,4.16,18.97,4.4,2.08
110,1981-04-21,-99.0,3.11,67.35,8.38,2.44,14.76,3.29,3.43
